split,run,period,field_G,partition,detector_count,detector_first_one_based,detector_last_one_based,basis_condition,calibration_improvement,wrong_frequency_improvement_median,basic_eligible,ring_frequency_specific_eligible
development,EMU00070043,RF off,410.0,B,48,49,96,1.5296503632661096,0.027883597759943347,0.015002822129767966,1,1
development,EMU00070043,RF off,410.0,F_inner,16,1,46,2.4730782526386013,0.028726270957799154,0.017637570657606655,1,1
development,EMU00070043,RF off,410.0,F_middle,16,2,47,1.888504281618545,0.020359377308207326,0.0202847196693093,1,1
development,EMU00070043,RF off,410.0,F_outer,16,3,48,3.1002133229709687,0.017192973790169045,0.01586352160169485,1,1
development,EMU00070043,RF off,410.0,B_inner,16,49,94,1.8703375514102598,0.021320957160300105,0.017855691185907855,1,1
development,EMU00070043,RF off,410.0,B_middle,16,50,95,1.7472829292506844,0.0363907280243538,0.014405617383243755,1,1
development,EMU00070043,RF off,410.0,B_outer,16,51,96,1.7375445781194296,0.020045849196796053,0.014103577571425,1,1
development,EMU00070049,RF on,446.0,F,48,1,48,1.876720204685666,0.022142160015150698,0.015590975147570504,1,1
development,EMU00070049,RF on,446.0,B,48,49,96,1.2090145311949962,0.024811465664420492,0.015442847371358086,1,1
development,EMU00070049,RF on,446.0,F_inner,16,1,46,1.192603284819571,0.02455251070604346,0.015190348890406952,1,1
development,EMU00070049,RF on,446.0,F_middle,16,2,47,3.420458408669348,0.018671999453359865,0.017707577319875774,1,1
development,EMU00070049,RF on,446.0,F_outer,16,3,48,2.520144020281945,0.02471430628906871,0.013691461919533195,1,1
development,EMU00070049,RF on,446.0,B_inner,16,49,94,1.4758141449485407,0.033421396898935155,0.01400555419592825,1,1
development,EMU00070049,RF on,446.0,B_middle,16,50,95,1.7265591989653506,0.017740979070980326,0.016377866034915846,1,1
development,EMU00070049,RF on,446.0,B_outer,16,51,96,1.8577440633964633,0.02730594383232563,0.018439090888419607,1,1
development,EMU00070049,RF off,446.0,F,48,1,48,1.1908886291059508,0.017700350964138307,0.014692519174425413,1,1
development,EMU00070049,RF off,446.0,B,48,49,96,1.2578823024171395,0.022366284697252735,0.016051837770671963,1,1
development,EMU00070049,RF off,446.0,F_inner,16,1,46,1.5485442133426974,0.03211789537343959,0.014397032094202025,1,1
development,EMU00070049,RF off,446.0,F_middle,16,2,47,1.424013866687029,0.009435434905372415,0.016773451577150975,1,0
development,EMU00070049,RF off,446.0,F_outer,16,3,48,1.9421804538739704,0.014336384329215147,0.013252738697352918,1,1
development,EMU00070049,RF off,446.0,B_inner,16,49,94,1.2501919558789627,0.021170596742397064,0.01495383731467189,1,1
development,EMU00070049,RF off,446.0,B_middle,16,50,95,2.131055111309046,0.022847857244939672,0.01684522952568212,1,1
development,EMU00070049,RF off,446.0,B_outer,16,51,96,1.3142812751365602,0.022522048281158773,0.01600726064544413,1,1
development,EMU00070055,RF on,482.0,F,48,1,48,1.2798201649861864,0.02748876437945286,0.015798279551651202,1,1
development,EMU00070055,RF on,482.0,B,48,49,96,1.3822735105347252,0.02169703636545513,0.015327971785114589,1,1
development,EMU00070055,RF on,482.0,F_inner,16,1,46,2.039353402757442,0.03338156988434439,0.016886184084010963,1,1
development,EMU00070055,RF on,482.0,F_middle,16,2,47,1.7607383669416405,0.028500127747968836,0.01748763043582694,1,1
development,EMU00070055,RF on,482.0,F_outer,16,3,48,1.3254968532868103,0.020646433313721457,0.013718789655781391,1,1
development,EMU00070055,RF on,482.0,B_inner,16,49,94,1.3534718535231818,0.021062329407354214,0.015807410834503394,1,1
development,EMU00070055,RF on,482.0,B_middle,16,50,95,1.5098769858254688,0.0201082429445149,0.016823247944750073,1,1
development,EMU00070055,RF on,482.0,B_outer,16,51,96,1.4853599483174904,0.024367332916378236,0.015398334175289997,1,1
development,EMU00070055,RF off,482.0,F,48,1,48,1.783912299583614,0.021987073758351513,0.015469615422798538,1,1
development,EMU00070055,RF off,482.0,B,48,49,96,1.1487732022565011,0.023564326786405177,0.01644194486434059,1,1
development,EMU00070055,RF off,482.0,F_inner,16,1,46,1.5477331001798358,0.027539762203630268,0.015122664482642314,1,1
development,EMU00070055,RF off,482.0,F_middle,16,2,47,2.146445767530864,0.022504154357325314,0.014128692875484503,1,1
development,EMU00070055,RF off,482.0,F_outer,16,3,48,2.0166725509187464,0.018563188191299946,0.01673236172098851,1,1
development,EMU00070055,RF off,482.0,B_inner,16,49,94,2.524401760217923,0.02282252343276575,0.017570108655956942,1,1
development,EMU00070055,RF off,482.0,B_middle,16,50,95,1.3656024240952849,0.024375631238595347,0.018670090717764626,1,1
development,EMU00070055,RF off,482.0,B_outer,16,51,96,2.5541875245772645,0.022642665786962675,0.014040605757701306,1,1
