split,alias_class,run,period,field_G,frequency_MHz,phase_bin,x_spin_mid,direction_cos,direction_sin,release_residual,parent_release_ARA,time_us,count_weight,sample_bins
holdout,primary,EMU00070245,RF on,1800.0,24.3882,24,1.53125,0.0464099193599788,-0.02796379570509059,-0.11017741015930883,0.987971856044357,1.7528993172687801,144974.0,12
holdout,primary,EMU00070245,RF on,1800.0,24.3882,25,1.59375,0.05433288631069609,-0.01744014697201226,-0.03702897810569001,0.9954380405999156,1.8942173909514186,94161.0,9
holdout,primary,EMU00070245,RF on,1800.0,24.3882,26,1.65625,-0.028290164666707324,-0.09943957623074788,-0.34508657399173703,1.1661907948504098,2.388230671068756,88129.0,11
holdout,primary,EMU00070245,RF on,1800.0,24.3882,27,1.71875,0.07020112174253443,-0.049754192913423936,0.054867491449875495,1.0879975612361055,2.119103290228748,136296.0,14
holdout,primary,EMU00070245,RF on,1800.0,24.3882,28,1.78125,0.0797470681201119,-0.05659010120516915,-0.0001720855801725046,0.8513131604919524,1.507224331305189,142286.0,11
holdout,primary,EMU00070245,RF on,1800.0,24.3882,29,1.84375,0.138212354369917,-0.035685359100291414,-0.3038713857458216,1.051355269374336,2.019464145628707,88677.0,9
holdout,primary,EMU00070245,RF on,1800.0,24.3882,30,1.90625,0.05348429979490365,-0.014099384260341782,0.0625609647196534,1.2474692502345055,2.599868483237002,91712.0,12
holdout,primary,EMU00070245,RF on,1800.0,24.3882,31,1.96875,0.05491598935618028,0.011723571992254805,0.10168408744600453,1.0007186520490938,1.79087186359587,155150.0,13
holdout,primary,EMU00070245,RF off,1800.0,24.3882,0,0.03125,0.07984285902785764,-0.019803965240237715,-0.13131386022528935,0.9827403159423099,1.86740159882432,95337.0,9
holdout,primary,EMU00070245,RF off,1800.0,24.3882,1,0.09375,0.08233732713844814,0.02655776598171889,0.07859083641246215,1.1294429624533076,2.2587027439425302,86307.0,10
holdout,primary,EMU00070245,RF off,1800.0,24.3882,2,0.15625,0.05889037978376402,-0.0019211192063719545,-0.08739265822322953,1.0930220211235464,2.1581893634070477,141376.0,15
holdout,primary,EMU00070245,RF off,1800.0,24.3882,3,0.21875,0.06756148869015434,0.08086919285655628,-0.3429576600646094,0.835388422549901,1.4773905956279398,143896.0,11
holdout,primary,EMU00070245,RF off,1800.0,24.3882,4,0.28125,0.03259791573582027,0.004370907484556995,-0.30110136241062513,1.039520563871373,1.9957180256533156,89757.0,9
holdout,primary,EMU00070245,RF off,1800.0,24.3882,5,0.34375,0.025854812099455105,0.1305793809144177,-0.2888934126805864,1.2389958406981025,2.577830170517672,92360.0,12
