medium,event,relative_row,x_S,x_F,child_u,child_v,child_handover,active_Ab_child
dry,1,-49,1.648532092426002,0.0,1.2970641848520041,-2.0,,False
dry,1,-48,1.6485685746203176,0.0,1.2971371492406352,-2.0,,False
dry,1,-47,1.6486098157172326,0.0,1.2972196314344653,-2.0,,False
dry,1,-46,1.6486413236863313,0.0,1.2972826473726626,-2.0,,False
dry,1,-45,1.6486718231823827,0.0,1.2973436463647654,-2.0,,False
dry,1,-44,1.6487050319276746,0.0,1.2974100638553492,-2.0,,False
dry,1,-43,1.648739886937077,0.0,1.2974797738741541,-2.0,,False
dry,1,-42,1.6487676989886877,0.0,1.2975353979773754,-2.0,,False
dry,1,-41,1.648796252404285,0.0,1.29759250480857,-2.0,,False
dry,1,-40,1.6488396658066806,0.0,1.2976793316133612,-2.0,,False
dry,1,-39,1.6488853360082452,0.0,1.2977706720164903,-2.0,,False
dry,1,-38,1.6489324398769059,0.0,1.2978648797538117,-2.0,,False
dry,1,-37,1.64896824884731,0.0,1.2979364976946202,-2.0,,False
dry,1,-36,1.6490049463642613,0.0,1.2980098927285226,-2.0,,False
dry,1,-35,1.6490411369190772,0.0,1.2980822738381543,-2.0,,False
dry,1,-34,1.6490795951754718,0.0,1.2981591903509435,-2.0,,False
dry,1,-33,1.6491176827498821,0.0,1.2982353654997643,-2.0,,False
dry,1,-32,1.6491514393413431,0.0,1.2983028786826862,-2.0,,False
dry,1,-31,1.6491870684219785,0.0,1.298374136843957,-2.0,,False
dry,1,-30,1.649213956494231,0.0,1.298427912988462,-2.0,,False
dry,1,-29,1.6492480401580398,0.0,1.2984960803160797,-2.0,,False
dry,1,-28,1.6492838245980235,0.0,1.298567649196047,-2.0,,False
dry,1,-27,1.6493167226245813,0.0,1.2986334452491626,-2.0,,False
dry,1,-26,1.6493392333786276,0.0,1.2986784667572553,-2.0,,False
dry,1,-25,1.649367154454348,0.0,1.298734308908696,-2.0,,False
dry,1,-24,1.6493944677206303,0.0,1.2987889354412605,-2.0,,False
dry,1,-23,1.6494232201052312,0.0,1.2988464402104625,-2.0,,False
dry,1,-22,1.6494534279617648,0.0,1.2989068559235295,-2.0,,False
dry,1,-21,1.649480926569039,0.0,1.2989618531380782,-2.0,,False
dry,1,-20,1.649511232547273,0.0,1.2990224650945459,-2.0,,False
dry,1,-19,1.6495400503463473,0.0,1.2990801006926946,-2.0,,False
dry,1,-18,1.649573708816108,0.0,1.299147417632216,-2.0,,False
dry,1,-17,1.6496109896120768,0.0,1.2992219792241535,-2.0,,False
dry,1,-16,1.6496447870875905,0.0,1.299289574175181,-2.0,,False
dry,1,-15,1.6496864697321676,0.0,1.2993729394643352,-2.0,,False
dry,1,-14,1.6497312813688292,0.0,1.2994625627376584,-2.0,,False
dry,1,-13,1.6497766926381217,0.0,1.2995533852762433,-2.0,,False
dry,1,-12,1.6498159549473739,0.0,1.2996319098947477,-2.0,,False
dry,1,-11,1.6498585206872933,0.0,1.2997170413745867,-2.0,,False
dry,1,-10,1.6498987505855403,0.0,1.2997975011710805,-2.0,,False
dry,1,-9,1.6499312070644363,0.0,1.2998624141288726,-2.0,,False
dry,1,-8,1.649959945821026,0.0,1.2999198916420518,-2.0,,False
dry,1,-7,1.6499881912435097,0.0,1.2999763824870194,-2.0,,False
dry,1,-6,1.6500227409854016,0.0,1.3000454819708032,-2.0,,False
dry,1,-5,1.650053962766205,0.0,1.30010792553241,-2.0,,False
dry,1,-4,1.6500796079635403,0.0,1.3001592159270805,-2.0,,False
dry,1,-3,1.6500996602237927,0.0,1.3001993204475855,-2.0,,False
dry,1,-2,1.650124534075516,0.0,1.300249068151032,-2.0,,False
dry,1,-1,1.64261543822498,1.3997630329249406,1.28523087644996,0.7995260658498813,0.7670208930618724,True
dry,1,0,1.6275364928361036,1.751929454832498,1.2550729856722072,1.503858909664996,1.0901747246509619,True
dry,1,1,1.610380529041602,1.8522213253635453,1.220761058083204,1.7044426507270907,1.1653497126326986,True
dry,1,2,1.5933432570749624,1.8953089945640333,1.1866865141499248,1.7906179891280667,1.2028450480336215,True
dry,1,3,1.5768646710063554,1.9186670384285458,1.1537293420127108,1.8373340768570916,1.2285490606891534,True
dry,1,4,1.5608043150690452,1.9334593757902978,1.1216086301380903,1.8669187515805956,1.2493904275402294,True
dry,1,5,1.5450347482499616,1.9437626308984541,1.0900694964999231,1.8875252617969083,1.2678187698560854,True
dry,1,6,1.5294884873478443,1.9512909079014085,1.0589769746956885,1.902581815802817,1.284851627397587,True
dry,1,7,1.5141274829467142,1.9570622589312479,1.0282549658934284,1.9141245178624957,1.3010725016469533,True
dry,1,8,1.4989273436265453,1.9616075681576552,0.9978546872530907,1.9232151363153105,1.316788199171423,True
dry,1,9,1.4838632936573328,1.9653042462637287,0.9677265873146657,1.9306084925274574,1.3322189735443706,True
dry,1,10,1.4689154797477915,1.9683700785303395,0.9378309594955829,1.936740157060679,1.3474985161479636,True
dry,1,11,1.4540551222573155,1.9709337251331862,0.908110244514631,1.9418674502663724,1.3627246654052065,True
dry,1,12,1.4392794574246006,1.9730439526983168,0.8785589148492012,1.9460879053966336,1.377933617362656,True
dry,1,13,1.4245693733223657,1.9749179147318934,0.8491387466447313,1.9498358294637868,1.3932501181734138,True
dry,1,14,1.4099067719476006,1.9765622324545853,0.8198135438952012,1.9531244649091706,1.4087040234637729,True
dry,1,15,1.3952894428363931,1.9780460218090639,0.7905788856727862,1.9560920436181277,1.4243366562467068,True
dry,1,16,1.3807115095889868,1.9793852189556183,0.7614230191779736,1.9587704379112365,1.440169950270561,True
dry,1,17,1.3661550677201335,1.9805196806123107,0.732310135440267,1.9610393612246213,1.4562086083910986,True
dry,1,18,1.3516136357462587,1.9815667934284367,0.7032272714925174,1.9631335868568733,1.4725190558581407,True
dry,1,19,1.3370872082161396,1.9825188092846726,0.6741744164322792,1.9650376185693452,1.4891093193792106,True
dry,1,20,1.3225786061287288,1.9833774821973513,0.6451572122574576,1.9667549643947027,1.5059885871933159,True
dry,1,21,1.3080942891628373,1.984175946902009,0.6161885783256746,1.968351893804018,1.5231735892934748,True
dry,1,22,1.2936372881888307,1.984949332424765,0.5872745763776615,1.9698986648495298,1.5406845598807943,True
dry,1,23,1.27920410353264,1.9856697041936302,0.55840820706528,1.9713394083872604,1.558526547348568,True
dry,1,24,1.264785498126157,1.9863758494252426,0.5295709962523141,1.9727516988504852,1.576736447870039,True
dry,1,25,1.2503766258475084,1.987024730346085,0.5007532516950168,1.9740494606921701,1.595318649693905,True
dry,1,26,1.235981168986153,1.9876047183736436,0.47196233797230613,1.9752094367472872,1.6142793547654533,True
dry,1,27,1.221588012533622,1.9881209682600216,0.4431760250672441,1.9762419365200432,1.6336507109532301,True
dry,1,28,1.2071973200260708,1.9886094676670225,0.41439464005214166,1.977218935334045,1.65346020417598,True
