path_id,direction,mode,true_center,prediction_rate,predicted_ridge_median,signed_error_median,abs_error_median,centre_range,endpoint_separation_median,x_r_peak_offset_median,wrong_center,wrong_abs_error
q23:d53:t256:r2:irrational_to_rational,irrational_to_rational,ordered,2326.0,1.0,2550.179132966582,224.17913296658207,224.17913296658207,153.62989542065952,1.6741008081948379,-209.8231288210295,1674.0,876.1791329665821
q23:d53:t256:r3:irrational_to_rational,irrational_to_rational,ordered,2350.0,1.0,2573.4314585621214,223.4314585621214,223.4314585621214,148.63312941657296,1.6741008081948379,-221.43145856212163,1698.0,875.4314585621214
q23:d53:t256:r4:irrational_to_rational,irrational_to_rational,ordered,2374.0,1.0,2605.053735499359,231.05373549935894,231.05373549935894,165.73501005891376,1.6742850333690433,-237.05373549935894,1722.0,883.0537354993589
q23:d53:t256:r5:irrational_to_rational,irrational_to_rational,ordered,2398.0,1.0,2626.920266158648,228.9202661586478,228.9202661586478,157.70164356733994,1.6741008081948379,-226.92026615864756,1746.0,880.9202661586478
q23:d53:t448:r0:irrational_to_rational,irrational_to_rational,ordered,2422.0,1.0,2747.341625074251,325.34162507425117,325.34162507425117,147.82747469631659,1.6741008081948379,-313.9137373481583,1770.0,977.3416250742512
q23:d53:t448:r1:irrational_to_rational,irrational_to_rational,ordered,2446.0,1.0,2772.442193344133,326.4421933441331,326.4421933441331,156.15352668894684,1.6742850333690433,-276.4421933441331,1794.0,978.4421933441331
q23:d53:t448:r2:irrational_to_rational,irrational_to_rational,ordered,2471.0,1.0,2794.3122990547286,323.31229905472856,323.31229905472856,164.0246326863553,1.6741008081948379,-242.01231634317764,1819.0,975.3122990547286
q23:d53:t448:r3:irrational_to_rational,irrational_to_rational,ordered,2495.0,1.0,2819.0224164198107,324.0224164198107,324.0224164198107,156.9457750771221,1.6756396865528382,-227.02241641981095,1843.0,976.0224164198107
q23:d53:t448:r4:irrational_to_rational,irrational_to_rational,ordered,2519.0,1.0,2840.576733792919,321.5767337929192,321.5767337929192,144.26272805683766,1.6741008081948379,-296.57673379291896,1867.0,973.5767337929192
q23:d53:t448:r5:irrational_to_rational,irrational_to_rational,ordered,2543.0,1.0,2868.104581111382,325.1045811113818,325.1045811113818,155.59317241322879,1.6741008081948379,-292.104581111382,1891.0,977.1045811113818
q23:d53:t640:r0:irrational_to_rational,irrational_to_rational,ordered,2567.0,1.0,2984.4395452356353,417.43954523563525,417.43954523563525,162.02018164586025,1.6741008081948379,-264.43954523563525,1915.0,1069.4395452356353
q23:d53:t640:r1:irrational_to_rational,irrational_to_rational,ordered,2591.0,1.0,3007.3276423393613,416.3276423393613,416.3276423393613,152.03556352913893,1.6741008081948379,-255.32764233936132,1939.0,1068.3276423393613
