delta_r,filename,sha256,rows_after_10s,columns,sampling_hz,raw_min,raw_max,pair,events,cycles,train_cycles,test_cycles,a_q05,a_q95,b_q05,b_q95
240,,,,,,,,1.0,81.0,80.0,48.0,32.0,0.103465,0.279001,0.064717,0.2700799000000001
240,,,,,,,,2.0,81.0,80.0,48.0,32.0,0.101036,0.281268,0.063097,0.26148779999999966
240,,,,,,,,3.0,81.0,80.0,48.0,32.0,0.097798,0.270742,0.064555,0.2661929000000001
240,,,,,,,,4.0,81.0,80.0,48.0,32.0,0.100227,0.276896,0.062611,0.25956
240,,,,,,,,5.0,81.0,80.0,48.0,32.0,0.100874,0.275439,0.064879,0.269926
240,,,,,,,,6.0,81.0,80.0,48.0,32.0,0.099741,0.272038,0.062125,0.26037
240,,,,,,,,7.0,80.0,79.0,47.0,32.0,0.10055,0.279001,0.060992,0.2573335
240,,,,,,,,8.0,81.0,80.0,48.0,32.0,0.099903,0.273819,0.061963,0.2570985999999999
240,,,,,,,,9.0,81.0,80.0,48.0,32.0,0.102008,0.280135,0.06083,0.254216
240,,,,,,,,10.0,81.0,80.0,48.0,32.0,0.105085,0.286126,0.061316,0.256807
240,,,,,,,,11.0,81.0,80.0,48.0,32.0,0.104275,0.283859,0.062773,0.263124
240,,,,,,,,12.0,81.0,80.0,48.0,32.0,0.104599,0.284669,0.068118,0.274785
240,,,,,,,,13.0,81.0,80.0,48.0,32.0,0.102008,0.278191,0.061316,0.256969
240,,,,,,,,14.0,81.0,80.0,48.0,32.0,0.100065,0.272524,0.061477,0.2598759000000001
240,,,,,,,,15.0,81.0,80.0,48.0,32.0,0.101684,0.275115,0.064555,0.266201
