path_id,split,q,d,duration,replicate,direction,mode,n_pre,n_handover,n_post,pre_x_p,post_x_p,pre_x_r,post_x_r,baseline_x_r,excursion_x_r,excess_area_x_r,band_width_states,coordinate_roughness,final_post_error_x_r
calibration:q5:d2:w512:r1:irrational_to_rational,calibration,5,2,512,1,irrational_to_rational,ordered,13,15,13,2.0,0.0,8.181601574089926e-05,0.0,8.181601574089926e-05,0.0026367452148575057,0.0010407686545569749,0,0.04773473326363623,0.0
calibration:q5:d2:w512:r1:irrational_to_rational,calibration,5,2,512,1,irrational_to_rational,shuffled,13,15,13,2.0,0.0,8.181601574089926e-05,0.0,8.181601574089926e-05,0.0025827705205499238,0.0012359612758216295,0,0.07396579425618409,0.0
calibration:q5:d2:w512:r1:rational_to_irrational,calibration,5,2,512,1,rational_to_irrational,abrupt,13,15,13,0.0,2.0,0.0,8.181601574107853e-05,8.181601574107853e-05,0.13698752653845847,0.023493148521411954,0,0.15040673769139304,2.8041533938621965e-16
calibration:q5:d2:w512:r1:rational_to_irrational,calibration,5,2,512,1,rational_to_irrational,ordered,13,15,13,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,0.11393681960821708,0.022003559997507336,0,0.05403222375900859,0.0
calibration:q5:d2:w512:r1:rational_to_irrational,calibration,5,2,512,1,rational_to_irrational,shuffled,13,15,13,0.0,2.0,0.0,8.181601574107852e-05,8.181601574107852e-05,0.13356760568132495,0.02394649284483929,0,0.07632308644503782,2.804288919133757e-16
calibration:q5:d2:w512:r2:irrational_to_rational,calibration,5,2,512,2,irrational_to_rational,abrupt,13,15,13,2.0,0.0,8.181601574135894e-05,0.0,8.181601574135894e-05,1.2120792036131804,0.20186684558784987,256,0.3033824927171936,0.0
calibration:q5:d2:w512:r2:irrational_to_rational,calibration,5,2,512,2,irrational_to_rational,ordered,13,15,13,2.0,0.0,8.181601574135894e-05,0.0,8.181601574135894e-05,0.386089509723723,0.15125353375961106,320,0.10910665295990218,0.0
calibration:q5:d2:w512:r2:irrational_to_rational,calibration,5,2,512,2,irrational_to_rational,shuffled,13,15,13,2.0,0.0,8.181601574135894e-05,0.0,8.181601574135894e-05,0.4118885878698057,0.18856378403712323,320,0.12894571721955542,0.0
calibration:q5:d2:w512:r2:rational_to_irrational,calibration,5,2,512,2,rational_to_irrational,abrupt,13,15,13,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.25403347113927,0.24066000016491712,320,0.26337125695111985,1.3552527156068805e-20
calibration:q5:d2:w512:r2:rational_to_irrational,calibration,5,2,512,2,rational_to_irrational,ordered,13,15,13,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,0.35182099579345816,0.16085174552777015,256,0.10621815885706176,0.0
calibration:q5:d2:w512:r2:rational_to_irrational,calibration,5,2,512,2,rational_to_irrational,shuffled,13,15,13,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,0.5024267240201776,0.2200492482835417,320,0.13267412414437882,0.0
calibration:q5:d2:w512:r3:irrational_to_rational,calibration,5,2,512,3,irrational_to_rational,abrupt,13,15,13,2.0,0.0,8.181601574135893e-05,0.0,8.181601574135893e-05,1.9999181839842586,0.44088200105284336,256,0.417877064922681,0.0
calibration:q5:d2:w512:r3:irrational_to_rational,calibration,5,2,512,3,irrational_to_rational,ordered,13,15,13,2.0,0.0,8.181601574135893e-05,0.0,8.181601574135893e-05,1.3375976463598591,0.5744077982870727,576,0.24071624470216327,0.0
calibration:q5:d2:w512:r3:irrational_to_rational,calibration,5,2,512,3,irrational_to_rational,shuffled,13,15,13,2.0,0.0,8.181601574135893e-05,0.0,8.181601574135893e-05,1.5474638275645138,0.7338101010340898,768,0.38059169569941614,0.0
calibration:q5:d2:w512:r3:rational_to_irrational,calibration,5,2,512,3,rational_to_irrational,abrupt,13,15,13,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.9999181839842586,0.5516420621927896,448,0.3441242164204872,0.0
calibration:q5:d2:w512:r3:rational_to_irrational,calibration,5,2,512,3,rational_to_irrational,ordered,13,15,13,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.3546511638439491,0.5813716753837631,640,0.2279493362643606,0.0
calibration:q5:d2:w512:r3:rational_to_irrational,calibration,5,2,512,3,rational_to_irrational,shuffled,13,15,13,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.4091104975688287,0.746108709031303,896,0.30384274108611636,0.0
calibration:q5:d2:w512:r4:irrational_to_rational,calibration,5,2,512,4,irrational_to_rational,abrupt,13,15,13,2.0,0.0,8.181601574089926e-05,0.0,8.181601574089926e-05,1.5568112841191355,0.2592389568460301,256,0.35200276816245113,0.0
calibration:q5:d2:w512:r4:irrational_to_rational,calibration,5,2,512,4,irrational_to_rational,ordered,13,15,13,2.0,0.0,8.181601574089926e-05,0.0,8.181601574089926e-05,0.4702602483680832,0.1923823907588455,384,0.11717738552789043,0.0
calibration:q5:d2:w512:r4:irrational_to_rational,calibration,5,2,512,4,irrational_to_rational,shuffled,13,15,13,2.0,0.0,8.181601574089926e-05,0.0,8.181601574089926e-05,0.5380274325444766,0.26131228650802485,512,0.164849285751291,0.0
calibration:q5:d2:w512:r4:rational_to_irrational,calibration,5,2,512,4,rational_to_irrational,abrupt,13,15,13,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.6007839047080104,0.31204553045329514,320,0.30376834544744646,0.0
calibration:q5:d2:w512:r4:rational_to_irrational,calibration,5,2,512,4,rational_to_irrational,ordered,13,15,13,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,0.4630495637538012,0.20799050823158902,384,0.11859651607433878,0.0
calibration:q5:d2:w512:r4:rational_to_irrational,calibration,5,2,512,4,rational_to_irrational,shuffled,13,15,13,0.0,2.0,0.0,8.181601574135893e-05,8.181601574135893e-05,0.6628503620300664,0.2867128547355938,576,0.16467519281062865,1.3552527156068805e-20
calibration:q5:d2:w512:r5:irrational_to_rational,calibration,5,2,512,5,irrational_to_rational,abrupt,13,15,13,2.0,0.0,8.181601574135894e-05,0.0,8.181601574135894e-05,0.008205911515147025,0.0013605225724477182,0,0.1430306259628685,0.0
calibration:q5:d2:w512:r5:irrational_to_rational,calibration,5,2,512,5,irrational_to_rational,ordered,13,15,13,2.0,0.0,8.181601574135894e-05,0.0,8.181601574135894e-05,0.0026367452148570434,0.0010407686545566065,0,0.046776703014988555,0.0
calibration:q5:d2:w512:r5:irrational_to_rational,calibration,5,2,512,5,irrational_to_rational,shuffled,13,15,13,2.0,0.0,8.181601574135894e-05,0.0,8.181601574135894e-05,0.002806897017920631,0.0013520210498266813,0,0.07478195988314444,0.0
calibration:q5:d2:w512:r5:rational_to_irrational,calibration,5,2,512,5,rational_to_irrational,abrupt,13,15,13,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,0.13698745678739632,0.023492993817566643,0,0.15077395287399153,0.0
