Name,fluid,partition,n_snapshots,position_alignment_parent_grandchild,position_alignment_parent_child,position_alignment_child_grandchild,flow_alignment_parent_grandchild,flow_alignment_parent_child,flow_alignment_child_grandchild,median_parent_grandchild_product,opposite_side_fraction_parent_grandchild,opposite_side_fraction_parent_child,quiet_guard_child_horizons
250723b,S2,diagnostic,52,0.3549322769199741,0.27708226885366943,-0.3444294272799467,-0.15965528429507006,0.5272907832644436,-0.451360123798956,0.24637364416445934,0.27450980392156865,0.4230769230769231,1.0
250723c,S2,diagnostic,66,0.20005836479355452,-0.4190011021619354,-0.6148844148905507,-0.09223857811428836,0.3413607276377934,-0.6817422279005224,0.05521403630250598,0.30303030303030304,0.7424242424242424,1.0
250723d,S2,diagnostic,41,0.40372192869735857,-0.3693760040790274,-0.5177701584050896,-0.09864067648670334,0.4475278085380072,-0.5811429699978159,0.15026692428319732,0.2926829268292683,0.7804878048780488,1.0
250723e,S2,diagnostic,33,0.21977928622644993,-0.2991402576472351,-0.3492880835761948,-0.40257367156452095,0.6409674891713559,-0.6174079347504202,0.09571261388417293,0.30303030303030304,0.7272727272727273,1.0
250723f,S2,diagnostic,36,0.2635697854662317,-0.3794014123958634,-0.4100811066293229,0.038455921317958844,0.39985113181126897,-0.3736278319666589,-0.0006930278018590626,0.5,0.6944444444444444,1.0
250723h,S2,diagnostic,21,0.5042971167857939,-0.3545512116802217,-0.10583370203257567,-0.06847595724625219,0.6434750550523473,-0.5639044635520389,0.017464980670369362,0.2857142857142857,0.5714285714285714,1.0
250723i,S2,diagnostic,29,-0.1303159493962141,-0.0027522957692961173,-0.07190080467797574,-0.17416313034472347,0.494151030738352,-0.09501215174682814,0.026069080595956667,0.4482758620689655,0.5862068965517241,1.0
250723j,S2,diagnostic,38,0.01824068044801656,-0.17468257753933633,-0.2952501944833154,-0.11576490665037022,0.5959427970055383,-0.442102296949772,0.0165645844245436,0.39473684210526316,0.8421052631578947,1.0
250723k,S2,diagnostic,37,0.2593772552062819,-0.529733153938994,-0.5991525965096248,0.2726228105629091,-0.22883141495531314,-0.7723927949573266,0.022637086285273715,0.2702702702702703,0.7567567567567568,1.0
250723l,S2,diagnostic,28,0.31034861319653634,-0.6325396327513959,-0.8306510660831857,-0.035588789484495544,0.21676096468009654,-0.683108028209213,0.0700073333082043,0.25,0.8571428571428571,1.0
250723m,S2,diagnostic,32,0.113118233413109,-0.6015808612633238,-0.58876714684733,-0.02244275478674758,0.16078112536121386,-0.6719422300220212,0.01598452158529505,0.46875,0.84375,1.0
250723n,S2,diagnostic,37,0.14597574731556898,-0.635956273868446,-0.6768063565241732,0.024600479453710113,0.10439054813774844,-0.6770001503302209,0.006881753590648365,0.4444444444444444,0.8378378378378378,1.0
250723o,S2,diagnostic,20,0.1855955668074637,-0.8346584920781075,-0.4957929387560068,0.23568245209876687,-0.25915045329896563,-0.7720497809147521,0.01642638602521214,0.4,0.95,1.0
250723q,S2,diagnostic,23,0.4728396017896696,-0.7760703905507578,-0.7870803508938454,0.3659594086240913,-0.23983245951325874,-0.8066576221330598,0.04721846159980777,0.2608695652173913,1.0,1.0
250723r,S2,diagnostic,23,-0.043909150529654134,-0.5690364579671998,-0.33577274734073065,0.342233087907492,0.03287237522185704,-0.5895968297933097,-0.008913883212884452,0.6521739130434783,0.8695652173913043,1.0
250723s,S2,diagnostic,19,0.8239006284332968,-0.6271936343169175,-0.8015417786189386,0.6224221546055104,-0.27515351155561474,-0.6685381034627982,0.029164873694464143,0.21052631578947367,0.7894736842105263,1.0
250723u,S2,diagnostic,20,0.15826224905222633,-0.594072537969099,-0.6361166311302994,-0.20301899216938557,0.34326809887093096,-0.7346672530287194,0.013624171607020376,0.2631578947368421,0.8,1.0
250723x,S2,diagnostic,13,0.4485182695242706,0.4434315977830788,-0.33920473834888115,0.2742233007731802,-0.36675138512412486,-0.5762858824894274,0.006155543299702092,0.38461538461538464,0.15384615384615385,1.0
250820a,S4,diagnostic,228,0.3990584731709267,-0.7145054622991689,-0.6465652783463919,0.05230945534754637,0.23628102435002232,-0.46348294424181574,0.08199114460621228,0.2675438596491228,0.9649122807017544,1.0
250820b,S4,diagnostic,308,0.2256289482977445,-0.47655828514133713,-0.5956934795347598,-0.03642730247455414,0.2761855016661934,-0.4493224536637859,0.03287388150440555,0.3538961038961039,0.8441558441558441,1.0
250820c,S4,diagnostic,234,0.07341436531293696,-0.6560919526866575,-0.40747404937935255,-0.03601697278625878,0.15907947977642997,-0.3849224389759862,0.0246013435308368,0.4017094017094017,0.9444444444444444,1.0
250820d,S4,diagnostic,249,0.17934124014391892,-0.7237012753923218,-0.5554754945640639,-0.0003546275127186343,0.1022204091289567,-0.40756922602283424,0.04815666442536358,0.3654618473895582,1.0,1.0
250820e,S4,diagnostic,237,0.15360423829037204,-0.7357986235945386,-0.5218074945223619,0.013161425148750563,0.0651959949942595,-0.443715742267797,0.044305623851884884,0.379746835443038,0.9873417721518988,1.0
250820f,S4,diagnostic,235,0.05006337204603502,-0.7386554016069509,-0.5323759133910168,-0.044876607055367085,0.09309936021303042,-0.4356402077130653,0.027288346936958252,0.4085106382978723,0.9531914893617022,1.0
250820g,S4,diagnostic,184,0.38528062168252597,-0.8835207205505455,-0.6150529424356704,0.05764382550060874,0.01670199950598073,-0.42679227153034494,0.07698168529824337,0.31521739130434784,0.9836956521739131,1.0
250820h,S4,diagnostic,177,0.2874195870310597,-0.8602757781024262,-0.5389922696375433,-0.006480511430017158,0.09614906331706236,-0.5352490871279525,0.05753541353745106,0.3728813559322034,0.943502824858757,1.0
250820i,S4,diagnostic,138,0.4795007577761591,-0.8102457925272425,-0.5429293221737606,0.06119266443903803,-0.06230666369404536,-0.4662928882664566,0.046886249194098444,0.2898550724637681,0.8985507246376812,1.0
250820j,S4,diagnostic,161,0.3455433914306792,-0.7850744448730197,-0.5790749811015908,-0.024936303088580587,0.22913422137022776,-0.45822416115270226,0.03175401014080615,0.32298136645962733,0.84472049689441,1.0
250820k,S4,diagnostic,127,0.38173765830193984,-0.6759770159328442,-0.4799852096026965,0.0550432480626219,0.015463626609554009,-0.3649573129390742,0.02046306585658178,0.3779527559055118,0.7716535433070866,1.0
250820l,S4,diagnostic,128,-0.004020422043478436,-0.8863849682391544,-0.07806997432306362,0.05681388438360445,0.3225348210179501,-0.36980081231659206,0.004522024692786921,0.4453125,0.953125,1.0
250822a,S4,diagnostic,105,0.47516345882243743,-0.5699795369502024,-0.39517710665633116,-0.01908650175977646,0.14263569898890874,-0.24712051041803543,0.038752114002634584,0.2857142857142857,0.819047619047619,1.0
250822b,S4,diagnostic,91,0.15209201225837313,-0.6177537915495775,0.0929244163090092,-0.020844458385530295,0.13355862667278973,-0.26683203056724475,0.004970935791551217,0.46153846153846156,0.8241758241758241,1.0
250822c,S4,diagnostic,95,0.2614345439497905,-0.5225824297659327,-0.22683521294409636,-0.08348326782388821,0.05989877441862997,-0.4713501417530088,0.0067824228459597,0.45263157894736844,0.7473684210526316,1.0
250822e,S4,diagnostic,69,0.46436228124504564,-0.2510786725095769,0.02387180380439517,0.00692189568849661,-0.009566686586960627,-0.2354426073276777,0.009931728693972226,0.4057971014492754,0.6666666666666666,1.0
250822r,S4,diagnostic,220,0.22298360414217339,-0.7748918602440996,-0.4775705452107501,-0.08716234299010975,0.2071607911514957,-0.5297085621426286,0.04217820862243063,0.36363636363636365,0.8954545454545455,1.0
250822s,S4,diagnostic,167,0.33303113286528657,-0.8275858073109934,-0.4247147155514772,-0.0012471123455400739,0.2649480899886115,-0.40588677869072476,0.03572602513349655,0.3712574850299401,0.9161676646706587,1.0
250822t,S4,diagnostic,129,0.1943201745415199,-0.6649709503322903,-0.13143093213453078,-0.006451575217721986,-0.07944476964146834,-0.2329577291026593,0.021888416813484513,0.4108527131782946,0.7829457364341085,1.0
250822u,S4,diagnostic,98,0.40657975880314456,-0.6199580678208984,-0.22763037170559688,0.05294464821236248,0.09388519213847166,-0.5153290427955775,0.03497093247477237,0.37755102040816324,0.826530612244898,1.0
241113m,S1,development,4,0.10797360268902749,0.8640794786161152,-0.3154781473833994,-0.21704784450466416,0.6593095714027098,-0.726143352415612,0.038086035638523155,0.5,0.0,2.0
