elevation_rank,path_type,candidate,increment_ara,local_positive,local_negative,local_score,local_sign,parent_positive,parent_negative,parent_score,parent_sign,local_score_rank_within_candidate,parent_score_rank_within_candidate
31,control,two_fifths,0.8,0.799999979582505,0.7800768157419731,0.7800768157419731,-,0.5404044655439042,0.5898039900799312,0.5404044655439042,+,32.0,39.0
31,control,silver_conjugate,0.8284271247461903,0.8135840580692599,0.8002955150055363,0.8002955150055363,-,0.4875020835447899,0.5364408640926632,0.4875020835447899,+,34.0,25.0
31,control,ridge,1.0,0.8829137126248188,0.8829137126248188,0.8829137126248188,+,0.5831524213239265,0.5831524213239283,0.5831524213239265,+,30.0,30.0
32,control,persistence,0.0,0.08334500832516724,0.08334500832516724,0.08334500832516724,+,0.5391904570284316,0.5391904570284316,0.5391904570284316,+,6.0,31.0
32,control,one_third,0.6666666666666666,0.6677167634926957,0.6656165698406374,0.6656165698406374,-,0.5837687367926958,0.5966959678413091,0.5837687367926958,+,31.0,38.0
32,control,one_over_e,0.7357588823428847,0.7368089791689137,0.7347087855168556,0.7347087855168556,-,0.4664239867418929,0.5566644404974563,0.4664239867418929,+,34.0,21.0
32,control,three_eighths,0.75,0.7500000166289882,0.7413595890224932,0.7413595890224932,-,0.4701065364827952,0.48986182483976765,0.4701065364827952,+,29.0,24.0
32,control,fibonacci_8_21,0.7619047619047619,0.76190477853375,0.7515311409261957,0.7515311409261957,-,0.5461611750158333,0.4422427772207202,0.4422427772207202,-,30.0,11.0
32,control,phi,0.7639320225002103,0.7639320391291984,0.753558401521644,0.753558401521644,-,0.5455899148406089,0.4341337348389264,0.4341337348389264,-,30.0,9.0
32,control,two_fifths,0.8,0.799999977255903,0.7639633642047241,0.7639633642047241,-,0.49858794188232597,0.4828979298739706,0.4828979298739706,-,28.0,25.0
32,control,silver_conjugate,0.8284271247461903,0.8206766501796519,0.7830624250511296,0.7830624250511296,-,0.49516205661635654,0.410715849593899,0.410715849593899,-,27.0,8.0
32,control,ridge,1.0,0.9166549916748328,0.9166549916748328,0.9166549916748328,+,0.5391904570284312,0.5391904570284312,0.5391904570284312,+,36.0,21.0
33,control,persistence,0.0,0.23760087403849983,0.23760087403849983,0.23760087403849983,+,0.220061135942901,0.220061135942901,0.220061135942901,+,36.0,11.0
33,control,one_third,0.6666666666666666,0.6666666666666665,0.6666666666666665,0.6666666666666665,+,0.4813333299233198,0.42624462482337977,0.42624462482337977,-,39.0,14.0
33,control,one_over_e,0.7357588823428847,0.7357588823428847,0.7357588823428847,0.7357588823428847,+,0.600111878143752,0.4762403421989816,0.4762403421989816,-,39.0,23.0
33,control,three_eighths,0.75,0.7493829707654772,0.75,0.7493829707654772,+,0.559209690425603,0.4916749555372322,0.4916749555372322,-,36.0,33.0
33,control,fibonacci_8_21,0.7619047619047619,0.7612877326702391,0.7619047503445636,0.7612877326702391,+,0.5662857176957277,0.4819514354639607,0.4819514354639607,-,37.0,25.0
33,control,phi,0.7639320225002103,0.7626025133460199,0.7620780633870177,0.7620780633870177,-,0.5034406392368249,0.49390996508932483,0.49390996508932483,-,37.0,30.0
33,control,two_fifths,0.8,0.7906890536146176,0.7915387702311528,0.7906890536146176,+,0.5264333325337001,0.544584591566181,0.5264333325337001,+,35.0,35.0
33,control,silver_conjugate,0.8284271247461903,0.7906890536146176,0.7884812424263694,0.7884812424263694,-,0.46434658112562643,0.6031586034669547,0.46434658112562643,+,30.0,20.0
33,control,ridge,1.0,0.7623991259615002,0.7623991259615002,0.7623991259615002,+,0.6663641705469441,0.6663641705469441,0.6663641705469441,+,6.0,34.0
34,control,persistence,0.0,0.18070013900253995,0.18070013900253995,0.18070013900253995,+,0.17055293468582272,0.17055293468582272,0.17055293468582272,+,26.0,7.0
34,control,one_third,0.6666666666666666,0.642429479555849,0.6909038537774842,0.642429479555849,+,0.5615003198682986,0.5217076778318068,0.5217076778318068,-,16.0,30.0
34,control,one_over_e,0.7357588823428847,0.7115216952320669,0.7599960694537023,0.7115216952320669,+,0.4917785143424973,0.5879519660093696,0.4917785143424973,+,21.0,25.0
34,control,three_eighths,0.75,0.7257628128891822,0.7742371871108177,0.7257628128891822,+,0.5750083155212107,0.4441129797575903,0.4441129797575903,-,23.0,18.0
34,control,fibonacci_8_21,0.7619047619047619,0.7259502311312243,0.7861419490155795,0.7259502311312243,+,0.603050250915879,0.4011988213626183,0.4011988213626183,-,19.0,6.0
34,control,phi,0.7639320225002103,0.7259502311312243,0.7881692096110279,0.7259502311312243,+,0.5712218599816046,0.3971443001717214,0.3971443001717214,-,19.0,5.0
