route_id,split,control,lag,source_pair,endpoint,destination_pair,flip,shape_error,weight
c2-0-130-36-10,development,time,1,3-10,10,1-6,Fz,0.9211578157081357,4.5333049548762494e-05
c2-0-130-36-10,development,time,2,3-10,10,1-6,Fz,0.9297326469329201,4.5333049548762494e-05
c2-0-130-36-10,development,time,3,3-10,10,1-6,Fz,0.9477877583724493,4.5333049548762494e-05
c2-0-130-36-10,development,time,4,3-10,10,1-6,Fz,0.9569784293488914,4.5333049548762494e-05
c2-0-130-36-10,development,time,5,3-10,10,0-6,Fz,0.9689869156561427,4.5333049548762494e-05
c2-0-130-36-10,development,time,6,3-10,10,0-6,Fz,0.9658964705984774,4.5333049548762494e-05
c2-0-146-28-2,development,exact,0,2-10,2,3-4,Fx,0.9545460856846908,8.086259239607025e-06
c2-0-146-28-2,development,exact,1,2-10,2,4-11,Fx,0.9386883337944368,8.086259239607025e-06
c2-0-146-28-2,development,exact,2,2-10,2,4-11,Fx,0.923843894520839,8.086259239607025e-06
c2-0-146-28-2,development,exact,3,2-10,2,1-5,Fx,0.8780585877243764,8.086259239607025e-06
c2-0-146-28-2,development,exact,4,2-10,2,4-11,Fx,0.9225375511783777,8.086259239607025e-06
c2-0-146-28-2,development,exact,5,2-10,2,0-4,Fx,0.9237865658923305,8.086259239607025e-06
c2-0-146-28-2,development,exact,6,2-10,2,0-4,Fx,0.9035178474793969,8.086259239607025e-06
c2-0-146-28-2,development,seed,0,2-10,2,0-5,Fx,0.9265508292592889,8.086259239607025e-06
c2-0-146-28-2,development,seed,1,2-10,2,0-5,Fx,0.9421931430475992,8.086259239607025e-06
c2-0-146-28-2,development,seed,2,2-10,2,0-8,Fx,0.9574512214826332,8.086259239607025e-06
c2-0-146-28-2,development,seed,3,2-10,2,0-8,Fx,0.9539024854303738,8.086259239607025e-06
c2-0-146-28-2,development,seed,4,2-10,2,0-8,Fx,0.9568065655741401,8.086259239607025e-06
c2-0-146-28-2,development,seed,5,2-10,2,1-8,Fx,0.9410522195393549,8.086259239607025e-06
c2-0-146-28-2,development,seed,6,2-10,2,1-8,Fx,0.9553071906281585,8.086259239607025e-06
c2-0-146-28-2,development,time,0,2-10,2,9-11,Fx,0.9378938996817068,8.086259239607025e-06
c2-0-146-28-2,development,time,1,2-10,2,9-11,Fx,0.9524210272046187,8.086259239607025e-06
c2-0-146-28-2,development,time,2,2-10,2,6-9,Fx,0.9693178333869492,8.086259239607025e-06
c2-0-146-28-2,development,time,3,2-10,2,0-6,Fx,0.9560355338288833,8.086259239607025e-06
c2-0-146-28-2,development,time,4,2-10,2,0-6,Fx,0.9430019889489012,8.086259239607025e-06
c2-0-146-28-2,development,time,5,2-10,2,0-6,Fx,0.9377813262585769,8.086259239607025e-06
c2-0-146-28-2,development,time,6,2-10,2,0-6,Fx,0.932086884892155,8.086259239607025e-06
c2-0-150-52-6,development,exact,0,6-8,6,4-11,Fx,0.9224338259504338,2.9785375608086355e-05
c2-0-150-52-6,development,exact,1,6-8,6,0-4,Fx,0.9236845850181162,2.9785375608086355e-05
c2-0-150-52-6,development,exact,2,6-8,6,0-4,Fx,0.9033872374357927,2.9785375608086355e-05
c2-0-150-52-6,development,exact,3,6-8,6,0-4,Fx,0.8979555659403554,2.9785375608086355e-05
c2-0-150-52-6,development,exact,4,6-8,6,0-4,Fx,0.9090483408962198,2.9785375608086355e-05
c2-0-150-52-6,development,exact,5,6-8,6,0-4,Fx,0.93321988795619,2.9785375608086355e-05
c2-0-150-52-6,development,exact,6,6-8,6,0-3,Fx,0.9131519117881509,2.9785375608086355e-05
c2-0-150-52-6,development,seed,0,6-8,6,0-8,Fx,0.9567498068857905,2.9785375608086355e-05
c2-0-150-52-6,development,seed,1,6-8,6,1-8,Fx,0.9409740950912245,2.9785375608086355e-05
c2-0-150-52-6,development,seed,2,6-8,6,1-8,Fx,0.955248414503513,2.9785375608086355e-05
c2-0-150-52-6,development,seed,3,6-8,6,1-8,Fx,0.9392817550696679,2.9785375608086355e-05
c2-0-150-52-6,development,seed,4,6-8,6,1-8,Fx,0.9315449479658127,2.9785375608086355e-05
c2-0-150-52-6,development,seed,5,6-8,6,1-2,Fx,0.9449144204612441,2.9785375608086355e-05
c2-0-150-52-6,development,seed,6,6-8,6,1-2,Fx,0.9328218446679731,2.9785375608086355e-05
c2-0-150-52-6,development,time,0,6-8,6,0-6,Fx,0.9429265291408814,2.9785375608086355e-05
c2-0-150-52-6,development,time,1,6-8,6,0-6,Fx,0.9376987184605979,2.9785375608086355e-05
