entity,entity_type,replicate,s1,s2,s3,chsh_smax,retained_axes_at_0p50
Phi-minus,physically_prepared,3038,0.9773883025923663,0.8938935531105816,0.8794086764175538,2.649025162837867,3
Psi-plus,physically_prepared,3038,0.9214701274192584,0.889024579944265,0.8122497112922522,2.5608372845388994,3
Psi-minus,physically_prepared,3038,0.9266466806778185,0.8696988312054407,0.8309362078789994,2.5416924501688465,3
Phi-classical,equal_weight_reconstruction,3038,0.9201946511704499,0.019327855384205873,0.006677491789993896,1.840795221676174,1
Psi-classical,equal_weight_reconstruction,3038,0.8895542994296924,0.08528866248748206,0.04652921789736056,1.7872671961212232,1
Bell-uniform-mixed,equal_weight_reconstruction,3038,0.10477687851246442,0.04136575278411655,0.02892461216665507,0.22529376177970287,0
Phi-plus,physically_prepared,3039,0.9834363835224131,0.9217940167093053,0.9060074332562096,2.6958125525909384,3
Phi-minus,physically_prepared,3039,0.9759646045738527,0.8764460431528969,0.8525127811425409,2.6234820951852265,3
Psi-plus,physically_prepared,3039,0.9229603976566958,0.8606334491910156,0.7897656294953257,2.5239222091887306,3
Psi-minus,physically_prepared,3039,0.9479684777754218,0.839595131000178,0.7973324108486511,2.5326383230576424,3
Phi-classical,equal_weight_reconstruction,3039,0.9429135992254346,0.0689695777312257,0.023145585668227605,1.8908652604103626,1
Psi-classical,equal_weight_reconstruction,3039,0.8831629326427685,0.10078232963088146,0.0683977952854379,1.77778946285549,1
Bell-uniform-mixed,equal_weight_reconstruction,3039,0.10957503570163894,0.038704256003022755,0.006834044103004482,0.2324195162353022,0
Phi-plus,physically_prepared,3040,0.9891665139667869,0.9224324665959271,0.9136507179341543,2.7050560421428993,3
Phi-minus,physically_prepared,3040,0.9601173880165162,0.8739473136855145,0.8379576793752674,2.5966203464270894,3
Psi-plus,physically_prepared,3040,0.9056315803695641,0.8887911168282611,0.7948579870251549,2.537808667898746,3
Psi-minus,physically_prepared,3040,0.9393685291123796,0.8779471159899984,0.85740969930755,2.5715399059411164,3
Phi-classical,equal_weight_reconstruction,3040,0.9136334446565598,0.13070305781842728,0.08542297101238829,1.8458703752085066,1
Psi-classical,equal_weight_reconstruction,3040,0.9135302552016374,0.10245072459106737,0.043247806348352125,1.838514267704228,1
Bell-uniform-mixed,equal_weight_reconstruction,3040,0.1618431212923085,0.040913541746059094,0.0023131744617505027,0.3338689192353394,0
Phi-plus,physically_prepared,3041,0.9618550601227057,0.9140873544914269,0.8760820927004606,2.653843136528449,3
Phi-minus,physically_prepared,3041,0.9802140930573239,0.8754060207205467,0.8575452192785721,2.6284256651782827,3
Psi-plus,physically_prepared,3041,0.9002777314687083,0.8657382362045608,0.7688878861114857,2.4980013510044605,3
Psi-minus,physically_prepared,3041,0.9382062095326669,0.8981633608974225,0.8405450612085411,2.5976360903438405,3
Phi-classical,equal_weight_reconstruction,3041,0.9252913190073115,0.08519889298526234,0.05827581946436102,1.8584110163214214,1
Psi-classical,equal_weight_reconstruction,3041,0.8796816815385906,0.06846909261527626,0.032758097612419296,1.7646845355225638,1
Bell-uniform-mixed,equal_weight_reconstruction,3041,0.1336167473664655,0.02881381943636127,0.007504481066578154,0.2733764537578545,0
Phi-plus,physically_prepared,3042,0.9668247478108821,0.8721872188976904,0.8606124532991076,2.6041971029767033,3
Phi-minus,physically_prepared,3042,0.9888555890724671,0.861439884126063,0.8525889468366791,2.622909872643725,3
Psi-plus,physically_prepared,3042,0.9524187499229229,0.8866841934137915,0.8428502269180649,2.6025451650679257,3
Psi-minus,physically_prepared,3042,0.9543024190938939,0.8479808622250212,0.8103845025500391,2.553244719793501,3
Phi-classical,equal_weight_reconstruction,3042,0.918997485208488,0.12194402454210904,0.07699115912370674,1.8541054154940075,1
Psi-classical,equal_weight_reconstruction,3042,0.9082386805989715,0.1002959856144736,0.06358104649492441,1.8275193959753633,1
Bell-uniform-mixed,equal_weight_reconstruction,3042,0.10315841668078629,0.03574074498714058,0.019600135881087895,0.21834889314418374,0
Phi-plus,physically_prepared,3043,0.9595431908671225,0.8948846401275641,0.8545728791183621,2.624150646800369,3
Phi-minus,physically_prepared,3043,0.9537486148267932,0.830888372441789,0.809058707094307,2.5298315420145996,3
Psi-plus,physically_prepared,3043,0.9219318799557294,0.8493555992735051,0.7761843183452262,2.5070806331635693,3
Psi-minus,physically_prepared,3043,0.9031339761923964,0.8571421364133898,0.8112990111014764,2.4902559073062336,3
Phi-classical,equal_weight_reconstruction,3043,0.9058121655440611,0.08002072270628444,0.015883394506226885,1.8186797357534477,1
Psi-classical,equal_weight_reconstruction,3043,0.8823643462774075,0.08922916678774183,0.03427974568701652,1.773729047839259,1
Bell-uniform-mixed,equal_weight_reconstruction,3043,0.1507795586516829,0.05575835407704076,0.023463496124905482,0.32151808258060344,0
Phi-plus,physically_prepared,3044,0.9951407247933814,0.9164976125533346,0.9116877069675811,2.7057516042373577,3
Phi-minus,physically_prepared,3044,0.9773578544776063,0.9012225928204269,0.8840974053002933,2.6588949114389933,3
Psi-plus,physically_prepared,3044,0.9499467353246852,0.8844629172138356,0.8347436652730317,2.5958994216883178,3
Psi-minus,physically_prepared,3044,0.9043905414672743,0.8667984615194199,0.79829738073168,2.505403619689173,3
Phi-classical,equal_weight_reconstruction,3044,0.9256084402019703,0.05641116791831356,0.006402652813781213,1.8546516701947378,1
Psi-classical,equal_weight_reconstruction,3044,0.8743219939337473,0.09946667546762411,0.07570717742096808,1.7599233717464695,1
Bell-uniform-mixed,equal_weight_reconstruction,3044,0.10025816947375545,0.03769851022308003,0.004782508482054241,0.21422304469190925,0
Phi-plus,physically_prepared,3045,0.9526038543503507,0.9192958047128803,0.8858464771801412,2.6476849358530905,3
Phi-minus,physically_prepared,3045,0.9587315639619629,0.892813711761839,0.8677806217563679,2.6201393364833887,3
Psi-plus,physically_prepared,3045,0.9578950219021274,0.8745734574145234,0.8335409775642623,2.594179334894849,3
Psi-minus,physically_prepared,3045,0.9574562223476842,0.8292689337691604,0.8125836245657697,2.5333056524840725,3
Phi-classical,equal_weight_reconstruction,3045,0.9302439662921091,0.06554037387635837,0.055435835688285376,1.8650998658846423,1
Psi-classical,equal_weight_reconstruction,3045,0.8895975586025837,0.10190087438338839,0.0577126706734116,1.790829533452893,1
Bell-uniform-mixed,equal_weight_reconstruction,3045,0.13723030276078058,0.03756061459399036,0.018197847429695574,0.2845554832681583,0
Phi-plus,physically_prepared,3046,0.9575467266820805,0.909996472638138,0.879560890125953,2.6419608732859166,3
Phi-minus,physically_prepared,3046,0.9622202824066636,0.8164902049082801,0.7820294327851537,2.5239050113551613,3
Psi-plus,physically_prepared,3046,0.9758298606638282,0.8472915854440805,0.8256099076078162,2.584683305728212,3
Psi-minus,physically_prepared,3046,0.9363209506766955,0.8802963452314213,0.8358970166664336,2.570306268213116,3
Phi-classical,equal_weight_reconstruction,3046,0.9001523477173029,0.06262018245846508,0.04970019442145662,1.804655686109795,1
Psi-classical,equal_weight_reconstruction,3046,0.9051484268669453,0.0956574706057006,0.05924313920310421,1.8203780116694295,1
Bell-uniform-mixed,equal_weight_reconstruction,3046,0.12128019502682426,0.07285937404501965,0.02780904465101217,0.2829655391879132,0
Phi-plus,physically_prepared,3047,0.9894262686033357,0.9100219863411334,0.9013737540442319,2.6885716331365117,3
Phi-minus,physically_prepared,3047,0.9724650599057006,0.9240531865020548,0.8968819912280076,2.682955522718928,3
Psi-plus,physically_prepared,3047,0.941823981846796,0.8842898942203966,0.8268103714281194,2.583796454678328,3
Psi-minus,physically_prepared,3047,0.9243629786905149,0.8804345526670995,0.8459903882183994,2.553125079508418,3
Phi-classical,equal_weight_reconstruction,3047,0.9335111165796277,0.0628411853177869,0.040317513399173346,1.8712477327707175,1
Psi-classical,equal_weight_reconstruction,3047,0.914150378251309,0.10429866392589775,0.0706597305153524,1.8401620856367393,1
Bell-uniform-mixed,equal_weight_reconstruction,3047,0.1361456168947722,0.036000818452694504,0.0005186474943789675,0.28165005186523184,0
Phi-plus,physically_prepared,3048,0.9594646162119848,0.9367096482092369,0.9111337651933814,2.681788444162651,3
Phi-minus,physically_prepared,3048,0.955088307291044,0.9015197437547238,0.8705949581366191,2.626732969377477,3
Psi-plus,physically_prepared,3048,0.9270705399250985,0.8572602323035476,0.7902700915850238,2.525355334907265,3
Psi-minus,physically_prepared,3048,0.9475451441972493,0.8207491742800915,0.7979808175113426,2.507166534056514,3
Phi-classical,equal_weight_reconstruction,3048,0.9302506866177039,0.0982540534485081,0.05292143388738845,1.870850286871477,1
Psi-classical,equal_weight_reconstruction,3048,0.8778273536825264,0.08288831100418308,0.027167848266359207,1.7634640171825378,1
Bell-uniform-mixed,equal_weight_reconstruction,3048,0.1008291620142094,0.028825031837798394,0.009838504852083728,0.20973700076941862,0
Phi-plus,physically_prepared,3049,0.9719286043210765,0.9284971129547879,0.9018134263961565,2.688309580880068,3
Phi-minus,physically_prepared,3049,0.9388609475872246,0.8634764526280357,0.8078709996796993,2.5511185493014454,3
Psi-plus,physically_prepared,3049,0.9272340430624306,0.8518562936272189,0.7805769773302368,2.51827092712933,3
Psi-minus,physically_prepared,3049,0.9338717661788141,0.8603164312117157,0.8461184788608126,2.539496672554465,3
Phi-classical,equal_weight_reconstruction,3049,0.9090635347468413,0.09896549113871492,0.032269197951708316,1.8288692447988169,1
Psi-classical,equal_weight_reconstruction,3049,0.9035308656032116,0.05919575628283406,0.024954671842077537,1.8109358493989627,1
Bell-uniform-mixed,equal_weight_reconstruction,3049,0.143623974163313,0.03401543434948637,0.01583428836489092,0.2951941444436066,0
Phi-plus,physically_prepared,3050,0.9805854067972093,0.9402241614391487,0.9252619371778437,2.7170345700985097,3
Phi-minus,physically_prepared,3050,0.9524306936767496,0.9208314015176768,0.8972745872326038,2.6495695471367293,3
Psi-plus,physically_prepared,3050,0.9134629859791572,0.8942394405241847,0.8122230176052654,2.556621836520188,3
Psi-minus,physically_prepared,3050,0.9362341649424255,0.8637605913087781,0.8177055981151641,2.5476395119431876,3
Phi-classical,equal_weight_reconstruction,3050,0.9368494810565569,0.06239014898514108,0.030568394919656825,1.8778492813283263,1
Psi-classical,equal_weight_reconstruction,3050,0.8877662815805396,0.09825059970020034,0.0678309606597885,1.7863730305317385,1
Bell-uniform-mixed,equal_weight_reconstruction,3050,0.10929724944788682,0.03313299140529716,0.013079868748480957,0.22841789646467803,0
