orientation,timestamp,record_index,readout,measurement,outcome,segment_tunnelling_fraction,classified_present
IX,115222,28,1,29,DOWNUP,0.225,0
IX,115222,28,1,29,UPDOWN,0.225,0
IX,115222,28,1,29,UPUP,0.275,0
IX,115222,29,1,30,DOWNDOWN,0.175,0
IX,115222,29,1,30,DOWNUP,0.25,0
IX,115222,29,1,30,UPDOWN,0.8,1
IX,115222,29,1,30,UPUP,0.25,0
IX,115222,30,1,31,DOWNDOWN,0.225,0
IX,115222,30,1,31,DOWNUP,0.2,0
IX,115222,30,1,31,UPDOWN,0.25,0
IX,115222,30,1,31,UPUP,0.9,1
IX,115222,31,1,32,DOWNDOWN,0.175,0
IX,115222,31,1,32,DOWNUP,0.225,0
IX,115222,31,1,32,UPDOWN,0.85,1
IX,115222,31,1,32,UPUP,0.325,0
IX,115222,32,1,33,DOWNDOWN,0.225,0
IX,115222,32,1,33,DOWNUP,0.925,1
IX,115222,32,1,33,UPDOWN,0.125,0
IX,115222,32,1,33,UPUP,0.125,0
IX,115222,33,1,34,DOWNDOWN,0.2,0
IX,115222,33,1,34,DOWNUP,0.7,1
IX,115222,33,1,34,UPDOWN,0.25,0
IX,115222,33,1,34,UPUP,0.225,0
IX,115222,34,1,35,DOWNDOWN,0.8,1
IX,115222,34,1,35,DOWNUP,0.225,0
IX,115222,34,1,35,UPDOWN,0.15,0
IX,115222,34,1,35,UPUP,0.2,0
IX,115222,35,1,36,DOWNDOWN,0.825,1
IX,115222,35,1,36,DOWNUP,0.15,0
IX,115222,35,1,36,UPDOWN,0.125,0
IX,115222,35,1,36,UPUP,0.1,0
IX,115222,36,1,37,DOWNDOWN,0.15,0
IX,115222,36,1,37,DOWNUP,0.275,0
IX,115222,36,1,37,UPDOWN,0.9,1
IX,115222,36,1,37,UPUP,0.1,0
IX,115222,37,1,38,DOWNDOWN,0.225,0
IX,115222,37,1,38,DOWNUP,0.175,0
IX,115222,37,1,38,UPDOWN,0.175,0
IX,115222,37,1,38,UPUP,0.9,1
IX,115222,38,1,39,DOWNDOWN,0.2,0
IX,115222,38,1,39,DOWNUP,0.15,0
IX,115222,38,1,39,UPDOWN,0.3,0
IX,115222,38,1,39,UPUP,0.8,1
IX,115222,39,1,40,DOWNDOWN,0.175,0
IX,115222,39,1,40,DOWNUP,0.85,1
IX,115222,39,1,40,UPDOWN,0.2,0
IX,115222,39,1,40,UPUP,0.3,0
IX,115222,40,2,1,DOWNDOWN,0.725,1
IX,115222,40,2,1,DOWNUP,0.25,0
IX,115222,40,2,1,UPDOWN,0.25,0
IX,115222,40,2,1,UPUP,0.1,0
IX,115222,41,2,2,DOWNDOWN,0.775,1
IX,115222,41,2,2,DOWNUP,0.15,0
IX,115222,41,2,2,UPDOWN,0.225,0
IX,115222,41,2,2,UPUP,0.175,0
IX,115222,42,2,3,DOWNDOWN,0.1,0
IX,115222,42,2,3,DOWNUP,0.25,0
IX,115222,42,2,3,UPDOWN,0.225,0
IX,115222,42,2,3,UPUP,0.8,1
IX,115222,43,2,4,DOWNDOWN,0.2,0
IX,115222,43,2,4,DOWNUP,0.8,1
IX,115222,43,2,4,UPDOWN,0.275,0
IX,115222,43,2,4,UPUP,0.2,0
IX,115222,44,2,5,DOWNDOWN,0.875,1
IX,115222,44,2,5,DOWNUP,0.2,0
IX,115222,44,2,5,UPDOWN,0.15,0
IX,115222,44,2,5,UPUP,0.15,0
IX,115222,45,2,6,DOWNDOWN,0.2,0
IX,115222,45,2,6,DOWNUP,0.3,0
IX,115222,45,2,6,UPDOWN,0.75,1
IX,115222,45,2,6,UPUP,0.2,0
IX,115222,46,2,7,DOWNDOWN,0.85,1
IX,115222,46,2,7,DOWNUP,0.1,0
IX,115222,46,2,7,UPDOWN,0.325,0
IX,115222,46,2,7,UPUP,0.175,0
IX,115222,47,2,8,DOWNDOWN,0.2,0
IX,115222,47,2,8,DOWNUP,0.175,0
IX,115222,47,2,8,UPDOWN,0.25,0
IX,115222,47,2,8,UPUP,0.8,1
IX,115222,48,2,9,DOWNDOWN,0.1,0
IX,115222,48,2,9,DOWNUP,0.2,0
IX,115222,48,2,9,UPDOWN,0.8,1
IX,115222,48,2,9,UPUP,0.2,0
IX,115222,49,2,10,DOWNDOWN,0.075,0
IX,115222,49,2,10,DOWNUP,0.125,0
IX,115222,49,2,10,UPDOWN,0.25,0
IX,115222,49,2,10,UPUP,0.875,1
IX,115222,50,2,11,DOWNDOWN,0.9,1
IX,115222,50,2,11,DOWNUP,0.125,0
IX,115222,50,2,11,UPDOWN,0.225,0
IX,115222,50,2,11,UPUP,0.275,0
IX,115222,51,2,12,DOWNDOWN,0.225,0
IX,115222,51,2,12,DOWNUP,0.825,1
IX,115222,51,2,12,UPDOWN,0.225,0
IX,115222,51,2,12,UPUP,0.275,0
IX,115222,52,2,13,DOWNDOWN,0.225,0
IX,115222,52,2,13,DOWNUP,0.725,1
IX,115222,52,2,13,UPDOWN,0.175,0
IX,115222,52,2,13,UPUP,0.2,0
IX,115222,53,2,14,DOWNDOWN,0.175,0
IX,115222,53,2,14,DOWNUP,0.85,1
IX,115222,53,2,14,UPDOWN,0.075,0
IX,115222,53,2,14,UPUP,0.125,0
IX,115222,54,2,15,DOWNDOWN,0.1,0
IX,115222,54,2,15,DOWNUP,0.275,0
IX,115222,54,2,15,UPDOWN,0.275,0
IX,115222,54,2,15,UPUP,0.875,1
IX,115222,55,2,16,DOWNDOWN,0.15,0
IX,115222,55,2,16,DOWNUP,0.25,0
IX,115222,55,2,16,UPDOWN,0.8,1
IX,115222,55,2,16,UPUP,0.1,0
IX,115222,56,2,17,DOWNDOWN,0.125,0
IX,115222,56,2,17,DOWNUP,0.175,0
IX,115222,56,2,17,UPDOWN,0.8,1
IX,115222,56,2,17,UPUP,0.175,0
IX,115222,57,2,18,DOWNDOWN,0.95,1
