archive,seed,parent_pair_count,child_pair_count,parent_forward_duration,parent_return_duration,child_forward_duration,child_return_duration,r_A,s_A,r_B,s_B,P_A,P_B,C_A,C_B,h_A,h_B,h_A_local_control,h_B_local_control,ratio_phi_error_A,ratio_phi_error_B,additive_phi_error_A,additive_phi_error_B,ratio_within_phi_band_A,ratio_within_phi_band_B,additive_within_phi_band_A,additive_within_phi_band_B
greedy,34,7,11,8.0,6.0,4.0,4.0,2.0,1.5,1.5,1.6666666666666665,1.1428571428571428,0.8571428571428572,1.0,1.0,1.3571428571428572,1.6428571428571428,1.8571428571428572,2.142857142857143,0.3819660112501051,0.1180339887498949,0.2608911316070377,0.02482315410724789,0,0,0,1
greedy,35,4,12,6.5,8.5,4.0,3.5,1.625,1.6153846153846154,2.4285714285714284,1.411764705882353,0.8666666666666667,1.1333333333333333,1.0666666666666667,0.9333333333333333,1.6666666666666665,1.3333333333333335,2.2,1.8,0.0069660112501050975,0.8105374398215335,0.048632677916771616,0.2847006554165614,1,0,1,0
greedy,36,4,16,7.5,6.5,4.0,3.5,1.875,1.5333333333333332,1.8571428571428572,1.5384615384615383,1.0714285714285714,0.9285714285714286,1.0666666666666667,0.9333333333333333,1.461904761904762,1.538095238095238,1.9952380952380953,2.0047619047619047,0.2569660112501051,0.2391088683929623,0.15612922684513286,0.07993875065465694,0,0,0,1
greedy,37,2,12,6.0,6.5,4.0,4.0,1.5,1.6666666666666665,1.625,1.6153846153846154,0.96,1.04,1.0,1.0,1.54,1.46,2.04,1.96,0.1180339887498949,0.0069660112501050975,0.07803398874989487,0.15803398874989494,0,1,1,0
greedy,38,3,10,7.0,7.0,4.0,3.25,1.75,1.5714285714285714,2.1538461538461537,1.4642857142857144,1.0,1.0,1.103448275862069,0.896551724137931,1.5517241379310345,1.4482758620689655,2.103448275862069,1.896551724137931,0.1319660112501051,0.5358121650962588,0.06630985081886043,0.16975812668092938,0,0,1,0
greedy,39,13,11,8.0,6.0,4.0,4.0,2.0,1.5,1.5,1.6666666666666665,1.1428571428571428,0.8571428571428572,1.0,1.0,1.3571428571428572,1.6428571428571428,1.8571428571428572,2.142857142857143,0.3819660112501051,0.1180339887498949,0.2608911316070377,0.02482315410724789,0,0,0,1
greedy,40,6,12,7.5,6.5,4.0,4.0,1.875,1.5333333333333332,1.625,1.6153846153846154,1.0714285714285714,0.9285714285714286,1.0,1.0,1.4285714285714286,1.5714285714285714,1.9285714285714286,2.071428571428571,0.2569660112501051,0.0069660112501050975,0.1894625601784663,0.046605417321323506,0,1,0,1
greedy,41,7,7,7.0,7.0,4.0,4.0,1.75,1.5714285714285714,1.75,1.5714285714285714,1.0,1.0,1.0,1.0,1.5,1.5,2.0,2.0,0.1319660112501051,0.1319660112501051,0.1180339887498949,0.1180339887498949,0,0,0,0
greedy,42,8,16,7.0,8.0,4.0,4.0,1.75,1.5714285714285714,2.0,1.5,0.9333333333333333,1.0666666666666667,1.0,1.0,1.5666666666666667,1.4333333333333333,2.0666666666666664,1.9333333333333333,0.1319660112501051,0.3819660112501051,0.05136732208322825,0.18470065541656155,0,0,1,0
greedy,43,7,11,6.0,7.0,4.0,4.0,1.5,1.6666666666666665,1.75,1.5714285714285714,0.9230769230769231,1.0769230769230769,1.0,1.0,1.5769230769230769,1.4230769230769231,2.0769230769230766,1.9230769230769231,0.1180339887498949,0.1319660112501051,0.04111091182681803,0.19495706567297177,0,0,1,0
