time_us,prompt_rate,delayed_rate,cumulative_ara
2.490499999999999936e+00,2.289074584552041136e-05,5.096378349575182709e-02,1.473979135362863069e+00
2.495499999999999829e+00,2.286348698308055753e-05,5.083584762856446088e-02,1.475574432223419219e+00
2.500500000000000167e+00,2.283649337799311291e-05,5.070826362238081003e-02,1.477165725628056370e+00
2.505500000000000060e+00,2.280866541033480622e-05,5.058101320088356084e-02,1.478753026318379238e+00
2.510499999999999954e+00,2.278105714771479074e-05,5.045413740841022537e-02,1.480336345874845527e+00
2.515499999999999847e+00,2.275153584824295044e-05,5.032759170123751735e-02,1.481915695103535713e+00
2.520500000000000185e+00,2.272235746003316534e-05,5.020142570205667759e-02,1.483491085020801181e+00
2.525500000000000078e+00,2.269047840682246610e-05,5.007557837626001179e-02,1.485062526424760776e+00
2.530499999999999972e+00,2.265921842666759957e-05,4.995005611793673639e-02,1.486630029404116149e+00
2.535499999999999865e+00,2.262625378224685161e-05,4.982490434651424410e-02,1.488193605270522246e+00
2.540500000000000203e+00,2.259350021082769634e-05,4.970011131637295382e-02,1.489753264920143039e+00
2.545500000000000096e+00,2.255892685435714247e-05,4.957562801587827445e-02,1.491309018684531029e+00
2.550499999999999989e+00,2.252355651236299811e-05,4.945157504489555017e-02,1.492860878740108088e+00
2.555499999999999883e+00,2.248619350156528014e-05,4.932784634901336840e-02,1.494408856297148702e+00
2.560500000000000220e+00,2.244807791818135992e-05,4.920444839879106053e-02,1.495952962111360307e+00
2.565500000000000114e+00,2.240844846775427542e-05,4.908138168936634210e-02,1.497493206335501092e+00
2.570500000000000007e+00,2.236748783172426330e-05,4.895867128308584865e-02,1.499029599633603382e+00
2.575499999999999901e+00,2.232456980972706657e-05,4.883628870038594916e-02,1.500562152259982573e+00
2.580499999999999794e+00,2.228080249157451113e-05,4.871429420312414771e-02,1.502090875907421630e+00
2.585500000000000131e+00,2.223473645852783263e-05,4.859260677405789763e-02,1.503615781166182108e+00
2.590500000000000025e+00,2.218679019267490814e-05,4.847127280129739230e-02,1.505136878681935020e+00
2.595499999999999918e+00,2.213758688982364023e-05,4.835022391676388476e-02,1.506654177679091156e+00
2.600499999999999812e+00,2.208790971162221862e-05,4.822953293288440024e-02,1.508167688661600669e+00
2.605500000000000149e+00,2.203594519421345023e-05,4.810910929074666692e-02,1.509677421323670998e+00
2.610500000000000043e+00,2.198209920865555996e-05,4.798904626343322710e-02,1.511183385470642682e+00
2.615499999999999936e+00,2.192708593979265133e-05,4.786927159187032849e-02,1.512685591105692895e+00
2.620499999999999829e+00,2.187076679158892614e-05,4.774984864809787150e-02,1.514184048708171249e+00
2.625500000000000167e+00,2.181266864335868567e-05,4.763069170531421259e-02,1.515678766805993893e+00
2.630500000000000060e+00,2.175361835015392393e-05,4.751187463721841253e-02,1.517169755946629284e+00
2.635499999999999954e+00,2.169341723649951138e-05,4.739331253324396281e-02,1.518657024642154463e+00
2.640499999999999847e+00,2.163166356523496588e-05,4.727507075040743301e-02,1.520140582252174966e+00
2.645500000000000185e+00,2.156889074982036038e-05,4.715709846795924920e-02,1.521620437592790420e+00
2.650500000000000078e+00,2.150556698758105293e-05,4.703940204575776662e-02,1.523096599598987577e+00
2.655499999999999972e+00,2.144169143629923800e-05,4.692200416955295827e-02,1.524569077207742707e+00
2.660499999999999865e+00,2.137750869373276902e-05,4.680482909201884312e-02,1.526037878017314497e+00
2.665500000000000203e+00,2.131362660071013833e-05,4.668794614889203859e-02,1.527503010666288796e+00
2.670500000000000096e+00,2.124930344671356342e-05,4.657133418746833148e-02,1.528964484103384036e+00
2.675499999999999989e+00,2.118509602652107987e-05,4.645502635116984663e-02,1.530422306749429362e+00
2.680499999999999883e+00,2.112076215557466560e-05,4.633899587772673939e-02,1.531876488083720123e+00
2.685500000000000220e+00,2.105642543431985938e-05,4.622325209887277048e-02,1.533327037094154299e+00
2.690500000000000114e+00,2.099129116619469690e-05,4.610775076907548675e-02,1.534773961821153554e+00
2.695500000000000007e+00,2.092715636637123468e-05,4.599255589939134359e-02,1.536217270758385656e+00
2.700499999999999901e+00,2.086248100744976007e-05,4.587758614534970941e-02,1.537656972123602861e+00
2.705499999999999794e+00,2.079876947832063697e-05,4.576291413523499163e-02,1.539093074144955109e+00
2.710500000000000131e+00,2.073455324201515604e-05,4.564846444688492461e-02,1.540525585346417037e+00
2.715500000000000025e+00,2.067092802466062785e-05,4.553431306557417096e-02,1.541954513587537212e+00
2.720499999999999918e+00,2.060740849339440527e-05,4.542035600182996874e-02,1.543379866538804990e+00
2.725499999999999812e+00,2.054490940921980605e-05,4.530672556441703303e-02,1.544801652834635552e+00
2.730500000000000149e+00,2.048249341198523475e-05,4.519332141469967895e-02,1.546219880874525998e+00
2.735500000000000043e+00,2.042074585196446007e-05,4.508022566026684969e-02,1.547634558926994641e+00
2.740499999999999936e+00,2.035951003346900376e-05,4.496729738084902922e-02,1.549045694507802828e+00
2.745499999999999829e+00,2.029898741013507193e-05,4.485466596676119383e-02,1.550453294699446483e+00
