time_M,actual_separation_M,common_horizon_time_M,predicted_handover_time_M,series,relation_ara
3470.5,8.020748351868171,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.0969282993779629
3470.5,8.020748351868171,3685.496267868691,3723.0384611894415,Blind ARA inversion,0.5701207429164655
3506.0,7.705260765476902,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.006096755868158979
3506.0,7.705260765476902,3685.496267868691,3723.0384611894415,Blind ARA inversion,0.5028170345252452
3542.0,7.3276048200865675,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.0
3542.0,7.3276048200865675,3685.496267868691,3723.0384611894415,Blind ARA inversion,0.4287195827546839
3577.5,6.865889516036505,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.0
3577.5,6.865889516036505,3685.496267868691,3723.0384611894415,Blind ARA inversion,0.34464184402266523
3613.5,6.235034364769199,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.0
3613.5,6.235034364769199,3685.496267868691,3723.0384611894415,Blind ARA inversion,0.2868218273552499
3649.0,5.245314183024783,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.0
3649.0,5.245314183024783,3685.496267868691,3723.0384611894415,Blind ARA inversion,0.23067914165365197
3685.0,2.379881055772674,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.0
3685.0,2.379881055772674,3685.496267868691,3723.0384611894415,Blind ARA inversion,0.16760685782615842
