time_M,series,coordinate
3641.050685360228,x_R residual,0.7310950299175908
3641.050685360228,rho coherence,0.9999965919775846
3652.2502800911952,x_P openness,1.6756589711823786
3652.2502800911952,x_R residual,0.737599103136873
3652.2502800911952,rho coherence,0.9999936922845913
3663.44985302053,x_P openness,1.7124484848442143
3663.44985302053,x_R residual,0.7475534838365563
3663.44985302053,rho coherence,0.9999867134249032
3674.6493822704065,x_P openness,1.4690498338243956
3674.6493822704065,x_R residual,0.7643053583450338
3674.6493822704065,rho coherence,0.9999660879215262
3686.2487020345084,x_P openness,1.6710995856284994
3686.2487020345084,x_R residual,0.7964423460100779
3686.2487020345084,rho coherence,0.999883798217671
3697.4472123886503,x_P openness,1.7141371736342077
3697.4472123886503,x_R residual,0.8469302168763592
3697.4472123886503,rho coherence,0.9996132411379562
3708.6440241886326,x_P openness,1.9725177862321248
3708.6440241886326,x_R residual,0.8691506898971372
3708.6440241886326,rho coherence,0.9996743713323701
3719.8396706811545,x_P openness,1.8783975252439598
3719.8396706811545,x_R residual,0.8624486110668433
3719.8396706811545,rho coherence,0.9999636400795946
3731.435585661539,x_P openness,1.9177150461561965
3731.435585661539,x_R residual,0.8583473858675245
3731.435585661539,rho coherence,0.9999988108183684
3742.6324903967284,x_P openness,1.9177150461561965
3742.6324903967284,x_R residual,0.8603736845783854
3742.6324903967284,rho coherence,0.9999983583011252
3753.830183042864,x_P openness,1.9177150461561965
3753.830183042864,x_R residual,0.8661748429973796
3753.830183042864,rho coherence,0.9999899609731722
3765.0284904290224,x_P openness,1.9177150461561965
3765.0284904290224,x_R residual,0.8810015036975724
3765.0284904290224,rho coherence,0.9999354965378332
3776.6271440779215,x_P openness,1.9177150461561965
3776.6271440779215,x_R residual,0.9133087853374219
3776.6271440779215,rho coherence,0.9994942718616461
3787.8260838596243,x_P openness,1.8783975252439598
3787.8260838596243,x_R residual,1.0206372135931476
3787.8260838596243,rho coherence,0.9962233341690865
3799.0251726352544,x_P openness,1.8540123345455526
3799.0251726352544,x_R residual,1.3902145919599633
3799.0251726352544,rho coherence,0.958218169046103
3810.2243593597977,x_P openness,1.1674204530903312
3810.2243593597977,x_R residual,0.01678765647253767
3810.2243593597977,rho coherence,0.9805146727181296
3821.823587331654,x_P openness,1.1509775004326939
3821.823587331654,x_R residual,0.01615904681970338
3821.823587331654,rho coherence,0.9973995876573258
3833.022889907116,x_P openness,1.1509775004326939
3833.022889907116,x_R residual,0.02343469131134042
3833.022889907116,rho coherence,0.9995817759948136
3844.2222289545357,x_P openness,0.0
3844.2222289545357,x_R residual,0.02536947357686777
3844.2222289545357,rho coherence,0.9999347472361546
