time_to_horizon_M,series,ara_coordinate
-2901.996267868691,horizon radial closure,0.1971030957114456
-2901.996267868691,waveform Time/Traversal,0.35614882135756887
-2901.996267868691,horizon angular traversal,0.35614882135756887
-2893.996267868691,waveform Space/Connection,0.004544163589889236
-2893.996267868691,horizon radial closure,0.1820505538199375
-2893.996267868691,waveform Time/Traversal,0.3606929849474581
-2893.996267868691,horizon angular traversal,0.3606929849474581
-2885.996267868691,waveform Space/Connection,0.00823629650667424
-2885.996267868691,horizon radial closure,0.16813405282590174
-2885.996267868691,waveform Time/Traversal,0.36523714853734734
-2885.996267868691,horizon angular traversal,0.36523714853734734
-2878.496267868691,waveform Space/Connection,0.013064470320931554
-2878.496267868691,horizon radial closure,0.15705765407554673
-2878.496267868691,waveform Time/Traversal,0.3694973019028685
-2878.496267868691,horizon angular traversal,0.3694973019028685
-2870.496267868691,waveform Space/Connection,0.0028401022436807723
-2870.496267868691,horizon radial closure,0.14825333712013633
-2870.496267868691,waveform Time/Traversal,0.37404146549275774
-2870.496267868691,horizon angular traversal,0.37404146549275774
-2862.496267868691,waveform Space/Connection,0.050837830161885825
-2862.496267868691,horizon radial closure,0.15762567452428286
-2862.496267868691,waveform Time/Traversal,0.3805737006532235
-2862.496267868691,horizon angular traversal,0.378585629082647
-2854.996267868691,waveform Space/Connection,0.12070434535643283
-2854.996267868691,horizon radial closure,0.16927009372337404
-2854.996267868691,waveform Time/Traversal,0.3854018744674808
-2854.996267868691,horizon angular traversal,0.38284578244816814
-2846.996267868691,waveform Space/Connection,0.23771655779608067
-2846.996267868691,horizon radial closure,0.18318659471740983
-2846.996267868691,waveform Time/Traversal,0.3905140585061062
-2846.996267868691,horizon angular traversal,0.3873899460380574
-2838.996267868691,waveform Space/Connection,0.32490769667708036
-2838.996267868691,horizon radial closure,0.19994319795512638
-2838.996267868691,waveform Time/Traversal,0.39477421187162737
-2838.996267868691,horizon angular traversal,0.3919341096279466
-2831.496267868691,waveform Space/Connection,0.5950014200511219
-2831.496267868691,horizon radial closure,0.22039193410962796
-2831.496267868691,waveform Time/Traversal,0.40045441635898893
-2831.496267868691,horizon angular traversal,0.39619426299346777
-2823.496267868691,waveform Space/Connection,0.5683044589605226
-2823.496267868691,horizon radial closure,0.2470888952002272
-2823.496267868691,waveform Time/Traversal,0.404430559500142
-2823.496267868691,horizon angular traversal,0.400738426583357
-2815.496267868691,waveform Space/Connection,0.6131780744106787
-2815.496267868691,horizon radial closure,0.25986935529679067
-2815.496267868691,waveform Time/Traversal,0.40727066174382276
-2815.496267868691,horizon angular traversal,0.40528259017324625
-2807.996267868691,waveform Space/Connection,0.6225504118148253
-2807.996267868691,horizon radial closure,0.272081794944618
-2807.996267868691,waveform Time/Traversal,0.4095427435387674
-2807.996267868691,horizon angular traversal,0.4095427435387674
-2799.996267868691,waveform Space/Connection,0.562624254473161
-2799.996267868691,horizon radial closure,0.2857142857142857
-2799.996267868691,waveform Time/Traversal,0.4129508662311843
-2799.996267868691,horizon angular traversal,0.41408690712865664
-2791.996267868691,waveform Space/Connection,0.42771939789832436
-2791.996267868691,horizon radial closure,0.2999147969326896
-2791.996267868691,waveform Time/Traversal,0.4180630502698097
-2791.996267868691,horizon angular traversal,0.4186310707185459
-2784.496267868691,waveform Space/Connection,0.36182902584493043
-2784.496267868691,horizon radial closure,0.31383129792672537
-2784.496267868691,waveform Time/Traversal,0.42289122408406704
-2784.496267868691,horizon angular traversal,0.42289122408406704
-2776.496267868691,waveform Space/Connection,0.36495313831297926
-2776.496267868691,horizon radial closure,0.3294518602669696
-2776.496267868691,waveform Time/Traversal,0.4274353876739563
-2776.496267868691,horizon angular traversal,0.4274353876739563
-2768.496267868691,waveform Space/Connection,0.28401022436807727
-2768.496267868691,horizon radial closure,0.34592445328031807
-2768.496267868691,waveform Time/Traversal,0.42999147969326895
-2768.496267868691,horizon angular traversal,0.4319795512638455
-2760.496267868691,waveform Space/Connection,0.17523430843510365
-2760.496267868691,horizon radial closure,0.364101107639875
-2760.496267868691,waveform Time/Traversal,0.43652371485373476
-2760.496267868691,horizon angular traversal,0.43652371485373476
-2752.996267868691,waveform Space/Connection,0.13433683612610053
-2752.996267868691,horizon radial closure,0.38284578244816814
-2752.996267868691,waveform Time/Traversal,0.4407838682192559
-2752.996267868691,horizon angular traversal,0.4407838682192559
-2744.996267868691,waveform Space/Connection,0.14314115308151093
-2744.996267868691,horizon radial closure,0.44561204203351323
-2744.996267868691,waveform Time/Traversal,0.44532803180914515
-2744.996267868691,horizon angular traversal,0.44532803180914515
-2736.996267868691,waveform Space/Connection,0.17182618574268674
-2736.996267868691,horizon radial closure,0.5063902300482818
-2736.996267868691,waveform Time/Traversal,0.4498721953990344
-2736.996267868691,horizon angular traversal,0.4498721953990344
-2729.496267868691,waveform Space/Connection,0.1297926725362113
-2729.496267868691,horizon radial closure,0.5239988639591026
-2729.496267868691,waveform Time/Traversal,0.45413234876455555
-2729.496267868691,horizon angular traversal,0.45413234876455555
-2721.496267868691,waveform Space/Connection,0.12042033513206475
-2721.496267868691,horizon radial closure,0.5407554671968191
-2721.496267868691,waveform Time/Traversal,0.4586765123544448
-2721.496267868691,horizon angular traversal,0.4586765123544448
-2713.496267868691,waveform Space/Connection,0.15137744958818516
-2713.496267868691,horizon radial closure,0.5566600397614314
-2713.496267868691,waveform Time/Traversal,0.46322067594433397
-2713.496267868691,horizon angular traversal,0.46322067594433397
-2705.996267868691,waveform Space/Connection,0.23658051689860835
-2705.996267868691,horizon radial closure,0.570008520306731
-2705.996267868691,waveform Time/Traversal,0.46748082930985513
-2705.996267868691,horizon angular traversal,0.46748082930985513
-2697.996267868691,waveform Space/Connection,0.32661175802328885
-2697.996267868691,horizon radial closure,0.5839250213007668
-2697.996267868691,waveform Time/Traversal,0.47202499289974437
-2697.996267868691,horizon angular traversal,0.47202499289974437
-2689.996267868691,waveform Space/Connection,0.49275773927861405
-2689.996267868691,horizon radial closure,0.5972735018460664
-2689.996267868691,waveform Time/Traversal,0.47855722806021017
-2689.996267868691,horizon angular traversal,0.4765691564896336
-2682.496267868691,waveform Space/Connection,0.547855722806021
-2682.496267868691,horizon radial closure,0.6092019312695257
-2682.496267868691,waveform Time/Traversal,0.4831013916500994
-2682.496267868691,horizon angular traversal,0.48082930985515476
-2674.496267868691,waveform Space/Connection,0.3973303038909401
-2674.496267868691,horizon radial closure,0.621130360692985
-2674.496267868691,waveform Time/Traversal,0.48764555523998865
-2674.496267868691,horizon angular traversal,0.485373473445044
-2666.496267868691,waveform Space/Connection,0.42487929565464355
-2666.496267868691,horizon radial closure,0.6330587901164442
-2666.496267868691,waveform Time/Traversal,0.4907696677080375
-2666.496267868691,horizon angular traversal,0.48991763703493324
-2658.996267868691,waveform Space/Connection,0.5228628230616302
-2658.996267868691,horizon radial closure,0.643283158193695
-2658.996267868691,waveform Time/Traversal,0.4941777904004544
-2658.996267868691,horizon angular traversal,0.4941777904004544
-2650.996267868691,waveform Space/Connection,0.5691564896336269
-2650.996267868691,horizon radial closure,0.6540755467196819
-2650.996267868691,waveform Time/Traversal,0.49872195399034364
-2650.996267868691,horizon angular traversal,0.49872195399034364
-2642.996267868691,waveform Space/Connection,0.4146549275773928
-2642.996267868691,horizon radial closure,0.6640159045725647
-2642.996267868691,waveform Time/Traversal,0.5032661175802329
-2642.996267868691,horizon angular traversal,0.5032661175802329
-2635.496267868691,waveform Space/Connection,0.36353308719113886
-2635.496267868691,horizon radial closure,0.672820221527975
-2635.496267868691,waveform Time/Traversal,0.5075262709457541
-2635.496267868691,horizon angular traversal,0.5075262709457541
-2627.496267868691,waveform Space/Connection,0.38596989491621697
-2627.496267868691,horizon radial closure,0.6753763135472877
-2627.496267868691,waveform Time/Traversal,0.5120704345356433
-2627.496267868691,horizon angular traversal,0.5120704345356433
-2619.496267868691,waveform Space/Connection,0.47003692132916786
-2619.496267868691,horizon radial closure,0.6660039761431411
-2619.496267868691,waveform Time/Traversal,0.5166145981255326
-2619.496267868691,horizon angular traversal,0.5166145981255326
-2611.996267868691,waveform Space/Connection,0.43368361261005395
-2611.996267868691,horizon radial closure,0.6569156489633626
-2611.996267868691,waveform Time/Traversal,0.5208747514910537
-2611.996267868691,horizon angular traversal,0.5208747514910537
-2603.996267868691,waveform Space/Connection,0.4757171258165294
-2603.996267868691,horizon radial closure,0.64697529111048
-2603.996267868691,waveform Time/Traversal,0.525418915080943
-2603.996267868691,horizon angular traversal,0.525418915080943
-2595.996267868691,waveform Space/Connection,0.3592729338256177
-2595.996267868691,horizon radial closure,0.6367509230332292
-2595.996267868691,waveform Time/Traversal,0.5299630786708321
-2595.996267868691,horizon angular traversal,0.5299630786708321
-2587.996267868691,waveform Space/Connection,0.36154501562056235
-2587.996267868691,horizon radial closure,0.6259585345072423
-2587.996267868691,waveform Time/Traversal,0.532803180914513
-2587.996267868691,horizon angular traversal,0.5345072422607214
