replicate,shifted_di_ara_brier,improvement_over_child_state
447,0.08080166825588249,-0.007646515502483256
448,0.08076893486419087,-0.007613782110791639
449,0.08176180499434078,-0.00860665224094155
450,0.08085932435950394,-0.007704171606104704
451,0.08269730917177469,-0.009542156418375455
452,0.08296372524403976,-0.00980857249064053
453,0.08147230173662813,-0.008317148983228898
454,0.08232798102980941,-0.00917282827641018
455,0.08248721675622697,-0.009332064002827739
456,0.08355707924673811,-0.010401926493338876
457,0.08230882296745473,-0.009153670214055498
458,0.08304801253722835,-0.009892859783829117
459,0.08152626667081261,-0.00837111391741338
460,0.0851752989990014,-0.012020146245602173
461,0.08075695091049961,-0.007601798157100381
462,0.08156537969677279,-0.008410226943373553
463,0.08157413959333991,-0.008418986839940676
464,0.08146919217419828,-0.008314039420799044
465,0.08073303547734645,-0.007577882723947216
466,0.08255141836015556,-0.009396265606756327
467,0.08314681489716627,-0.009991662143767038
468,0.08186761471164634,-0.008712461958247111
469,0.08324324570045816,-0.010088092947058924
470,0.08271778433709162,-0.009562631583692388
471,0.08018409235251989,-0.007028939599120654
472,0.08216715019105958,-0.009011997437660346
473,0.08064596134623253,-0.007490808592833298
474,0.0831294226798107,-0.00997426992641147
475,0.0803042762406933,-0.007149123487294073
476,0.08094162947639422,-0.007786476722994984
477,0.08181284769829719,-0.008657694944897959
478,0.08112443192087848,-0.007969279167479248
479,0.0792885087563469,-0.0061333560029476625
480,0.08138782167688459,-0.008232668923485356
481,0.07998028904765454,-0.00682513629425531
482,0.08202021737362969,-0.008865064620230456
483,0.08177026188282074,-0.008615109129421511
484,0.0802265126524175,-0.007071359899018262
485,0.0816226725899858,-0.00846751983658657
486,0.08035796137349359,-0.007202808620094356
487,0.08035454663350948,-0.007199393880110247
488,0.08303364188088279,-0.009878489127483556
489,0.07994026857112707,-0.006785115817727838
490,0.07992566524566924,-0.006770512492270009
491,0.0810152828978183,-0.007860130144419067
492,0.08241391839908133,-0.009258765645682093
493,0.08235993876730868,-0.00920478601390945
494,0.0828845843758847,-0.009729431622485463
495,0.08292509712680655,-0.009769944373407322
496,0.08009351778642354,-0.006938365033024307
497,0.08121351858701405,-0.008058365833614814
498,0.0812899385863346,-0.008134785832935365
499,0.08154964426012669,-0.008394491506727456
500,0.08100871200871655,-0.007853559255317319
501,0.08124815413072009,-0.008093001377320858
502,0.08175789132230911,-0.008602738568909876
503,0.0820190972921647,-0.008863944538765461
504,0.07970442566973639,-0.006549272916337154
505,0.0814328000547283,-0.008277647301329072
506,0.08021441439716008,-0.007059261643760847
507,0.07930554934978913,-0.006150396596389898
508,0.08146829811978705,-0.008313145366387817
509,0.08096317632997066,-0.007808023576571427
510,0.08080696519567405,-0.007651812442274822
511,0.08275586481160752,-0.009600712058208283
512,0.07891610435119685,-0.005760951597797617
513,0.08240992727842333,-0.009254774525024101
514,0.08206436960239515,-0.008909216848995913
515,0.08184873543339388,-0.00869358267999465
516,0.08000025648008079,-0.006845103726681553
517,0.08192037038890264,-0.008765217635503406
518,0.0824062413583045,-0.00925108860490527
519,0.08206886489492267,-0.008913712141523436
520,0.08201078601083853,-0.008855633257439294
521,0.0824451129413524,-0.009289960187953167
522,0.08126591183706301,-0.00811075908366378
523,0.08262765500354446,-0.009472502250145232
524,0.08169094930247495,-0.008535796549075714
525,0.08264859496726797,-0.009493442213868733
526,0.083380667218317,-0.010225514464917762
527,0.07948879673927767,-0.006333643985878434
528,0.08110295677672262,-0.007947804023323388
529,0.08100113605904641,-0.007845983305647175
530,0.08160831168234982,-0.008453158928950585
531,0.08282935217482638,-0.009674199421427152
532,0.08268077535457291,-0.009525622601173678
533,0.07926150062351213,-0.0061063478701128965
534,0.08302389565894056,-0.009868742905541322
535,0.08156056154913845,-0.008405408795739214
536,0.0808512825207398,-0.007696129767340562
537,0.08197564360333195,-0.008820490849932722
538,0.08168334900524948,-0.00852819625185025
539,0.08129880502256027,-0.008143652269161042
540,0.08239045371045998,-0.009235300957060752
541,0.08082545701778077,-0.007670304264381533
