model,domain,snr_db,method,replicate,scored_samples,declared_stream,sign_accuracy,correlation,nrmse,integrated_error,declared_child_occupancy,switch_count
Damped coupled oscillators,Newton/Hamilton mechanics,18,repeated_parent_reselection,9,5761,oscillator 2,0.7464698331193839,0.2486462360919856,0.2995384254702723,0.13362831196389124,0.4827286929352543,31
Damped coupled oscillators,Newton/Hamilton mechanics,18,repeated_parent_reselection,10,5761,oscillator 2,0.7233632862644416,0.24033482110752158,0.32705544980868034,0.6318121551880873,0.46432910952959555,29
Damped coupled oscillators,Newton/Hamilton mechanics,18,repeated_parent_reselection,11,5761,oscillator 2,0.7413350449293966,0.19301418994884434,0.3303126886278687,0.5904267969692127,0.46241971879881966,33
Damped coupled oscillators,Newton/Hamilton mechanics,18,repeated_parent_reselection,12,5761,oscillator 2,0.7268934531450578,0.1815721719215419,0.33877664717151246,0.5192663897217172,0.4016663773650408,35
Damped coupled oscillators,Newton/Hamilton mechanics,18,repeated_parent_reselection,13,5761,oscillator 2,0.6967265725288831,0.20187542786782003,0.34007015803356927,0.5805854931640934,0.42110744662385,55
Damped coupled oscillators,Newton/Hamilton mechanics,18,repeated_parent_reselection,14,5761,oscillator 2,0.733632862644416,0.18483424271299184,0.3431096123043801,0.5691573595943996,0.43568824856795696,37
Damped coupled oscillators,Newton/Hamilton mechanics,18,repeated_parent_reselection,15,5761,oscillator 2,0.7721437740693197,0.1905235462191848,0.3378138376229392,0.4540213657445523,0.3952438812706127,35
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_child_no_memory,0,5761,oscillator 2,0.7400513478818999,0.5823849937651273,0.34307467087655963,0.04125596488804529,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_child_no_memory,1,5761,oscillator 2,0.7108472400513479,0.5631989921386038,0.35052760571584946,0.04514599294661214,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_child_no_memory,2,5761,oscillator 2,0.7455070603337612,0.5806219646312042,0.3529420784100209,0.044030870996068644,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_child_no_memory,3,5761,oscillator 2,0.7060333761232349,0.573062797503009,0.34632053711343225,0.03887469863293699,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_child_no_memory,4,5761,oscillator 2,0.7201540436456996,0.5760957676176637,0.3577869933346914,0.04018059040763985,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_child_no_memory,5,5761,oscillator 2,0.7153401797175867,0.5463560515924917,0.3783098151507379,0.055853590454868034,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_child_no_memory,6,5761,oscillator 2,0.712772785622593,0.5560416931588101,0.3681202275610828,0.039527293553674264,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_child_no_memory,7,5761,oscillator 2,0.6999358151476252,0.5482017379342519,0.3629429290869716,0.02265860451380835,nan,-1
