n,mae,rmse,bias,r2,scale_days,horizon_windows,horizon_days,split,model
117,0.0005802514007418483,0.000656303140139523,-0.000525403754555588,-0.30181995319771526,30,4,120,holdout,clock_raw_pole
117,0.0004483620581845335,0.0006013030103104994,0.00028520738945239855,-0.09276987867172726,30,4,120,holdout,clock_pole_diara
117,0.0005994834526221967,0.0006780866904988715,-0.0005490374802357569,-0.3896722958866503,30,4,120,holdout,full_child
98,0.0004029929591836735,0.0004923141433487944,1.485385487528332e-06,0.5433098046637848,90,1,90,development,persistence
98,0.0003469945245280324,0.0004196205759767325,6.969871108835386e-20,0.6682196858948138,90,1,90,development,clock_only
98,0.00030548013401898965,0.00037911570578598734,0.0,0.7291800735129937,90,1,90,development,clock_raw_pole
98,0.0003373919205452404,0.00041436034938251935,1.1063287474341882e-20,0.6764857283806001,90,1,90,development,clock_pole_diara
98,0.00029966780487758487,0.0003746399599942293,-5.974175236144616e-20,0.7355367932553876,90,1,90,development,full_child
32,0.00034523875000000003,0.00041375412237363007,5.754166666666646e-06,-0.3524250437971499,90,1,90,validation,persistence
32,0.0003025269950325567,0.00037030212717680157,1.640709256617099e-05,-0.08328056179618182,90,1,90,validation,clock_only
32,0.000296506050443386,0.000354449946403905,-0.00018090818422905662,0.007482057264398656,90,1,90,validation,clock_raw_pole
32,0.00029937061902067736,0.0003671129105863698,3.9201114321232066e-05,-0.06470146741169702,90,1,90,validation,clock_pole_diara
32,0.0002746990357672323,0.00033099441324251316,-0.0001417158198786966,0.13449443693980245,90,1,90,validation,full_child
39,0.0004421490313390314,0.0005427584972221416,7.183846153846159e-06,0.10086192767145086,90,1,90,holdout,persistence
39,0.00032025067325984865,0.00047222856667136477,0.0001449880300187169,0.31935973754533487,90,1,90,holdout,clock_only
39,0.0003764227316870638,0.0004157587380084032,-0.0001838736616827399,0.4724108010232936,90,1,90,holdout,clock_raw_pole
39,0.0003226040637896903,0.0004846374623914406,0.00016964790212448336,0.28311896924363356,90,1,90,holdout,clock_pole_diara
39,0.0003614284199080134,0.0004056902129438739,-0.00014072627997283334,0.4976548817111869,90,1,90,holdout,full_child
97,0.00045644249713631155,0.0005360881627343606,1.410460481099656e-05,0.46273011915686524,90,2,180,development,persistence
97,0.000213592879477358,0.0002675847255547504,-1.3971677480483305e-19,0.866142503701822,90,2,180,development,clock_only
