domain,split,radial_candidate,angular_candidate,alpha,tau,linear_budget_loss,euclidean_budget_loss
recorded_qutrit,calibration,octave,phi_inverse_squared,2.0,0.38196601125010515,0.6291448089030417,0.41194482962943224
recorded_qutrit,calibration,octave,two_fifths,2.0,0.4,0.6081451428023237,0.40513995251726265
recorded_qutrit,calibration,octave,sqrt2_minus_1,2.0,0.41421356237309515,0.5931848571791956,0.4018339820016861
recorded_qutrit,calibration,e,quarter,2.718281828459045,0.25,0.7309654017974035,0.5041572507152006
recorded_qutrit,calibration,e,third,2.718281828459045,0.3333333333333333,0.5316309354076783,0.37047794160277087
recorded_qutrit,calibration,e,one_over_e,2.718281828459045,0.36787944117144233,0.4831645679078533,0.3345739736008104
recorded_qutrit,calibration,e,three_eighths,2.718281828459045,0.375,0.4751100861894853,0.32797778606117417
recorded_qutrit,calibration,e,phi_inverse_squared,2.718281828459045,0.38196601125010515,0.467419433589376,0.32277686207794176
recorded_qutrit,calibration,e,two_fifths,2.718281828459045,0.4,0.4502909544089393,0.31541416126173877
recorded_qutrit,calibration,e,sqrt2_minus_1,2.718281828459045,0.41421356237309515,0.4387970347906435,0.3125413855614499
recorded_qutrit,holdout,plastic,quarter,1.324717957244746,0.25,2.164132312595891,1.44464238949476
recorded_qutrit,holdout,plastic,third,1.324717957244746,0.3333333333333333,1.8967688818869437,1.3029898561953037
recorded_qutrit,holdout,plastic,one_over_e,1.324717957244746,0.36787944117144233,1.8232584476464244,1.2698295175419365
recorded_qutrit,holdout,plastic,three_eighths,1.324717957244746,0.375,1.8092701107166533,1.2645109897936382
recorded_qutrit,holdout,plastic,phi_inverse_squared,1.324717957244746,0.38196601125010515,1.796192028969899,1.2594853541253173
recorded_qutrit,holdout,plastic,two_fifths,1.324717957244746,0.4,1.7639027514465724,1.2481280934346457
recorded_qutrit,holdout,plastic,sqrt2_minus_1,1.324717957244746,0.41421356237309515,1.741641816088734,1.2403873242266044
recorded_qutrit,holdout,sqrt2,quarter,1.4142135623730951,0.25,1.7721595549073133,1.1255605331829202
recorded_qutrit,holdout,sqrt2,third,1.4142135623730951,0.3333333333333333,1.500922498213777,0.9456293897514543
recorded_qutrit,holdout,sqrt2,one_over_e,1.4142135623730951,0.36787944117144233,1.425801719621334,0.9105358688402851
recorded_qutrit,holdout,sqrt2,three_eighths,1.4142135623730951,0.375,1.4120871605079799,0.9045849039428455
recorded_qutrit,holdout,sqrt2,phi_inverse_squared,1.4142135623730951,0.38196601125010515,1.3993588376538804,0.8993606730444279
recorded_qutrit,holdout,sqrt2,two_fifths,1.4142135623730951,0.4,1.3680210975776927,0.8865627203018331
recorded_qutrit,holdout,sqrt2,sqrt2_minus_1,1.4142135623730951,0.41421356237309515,1.3451018905423147,0.8780268399564828
recorded_qutrit,holdout,three_halves,quarter,1.5,0.25,1.5302744710072091,0.9598451469634275
recorded_qutrit,holdout,three_halves,third,1.5,0.3333333333333333,1.2553351735645313,0.7652494295773666
recorded_qutrit,holdout,three_halves,one_over_e,1.5,0.36787944117144233,1.1793399125228534,0.7322469503520066
recorded_qutrit,holdout,three_halves,three_eighths,1.5,0.375,1.1648271244719637,0.7272059340965957
recorded_qutrit,holdout,three_halves,phi_inverse_squared,1.5,0.38196601125010515,1.1518319726876731,0.7228389288177424
recorded_qutrit,holdout,three_halves,two_fifths,1.5,0.4,1.1210125345407191,0.7125363328420116
recorded_qutrit,holdout,three_halves,sqrt2_minus_1,1.5,0.41421356237309515,1.0975461544213978,0.7065724787289216
recorded_qutrit,holdout,phi,quarter,1.618033988749895,0.25,1.3089340999990022,0.8278155537430045
recorded_qutrit,holdout,phi,third,1.618033988749895,0.3333333333333333,1.0295354709443956,0.6281366543737379
recorded_qutrit,holdout,phi,one_over_e,1.618033988749895,0.36787944117144233,0.9525968298822374,0.5977937813612664
recorded_qutrit,holdout,phi,three_eighths,1.618033988749895,0.375,0.9391396525533882,0.5933832530616809
recorded_qutrit,holdout,phi,phi_inverse_squared,1.618033988749895,0.38196601125010515,0.9265891265772384,0.5894366703021218
recorded_qutrit,holdout,phi,two_fifths,1.618033988749895,0.4,0.8983015169655307,0.581254268091798
recorded_qutrit,holdout,phi,sqrt2_minus_1,1.618033988749895,0.41421356237309515,0.8777059000775367,0.5761368874703654
recorded_qutrit,holdout,octave,quarter,2.0,0.25,0.9593202447642251,0.6253125406224327
recorded_qutrit,holdout,octave,third,2.0,0.3333333333333333,0.7061898154935864,0.45936972777198704
recorded_qutrit,holdout,octave,one_over_e,2.0,0.36787944117144233,0.6488158583544701,0.42098765331972854
recorded_qutrit,holdout,octave,three_eighths,2.0,0.375,0.6391332624800699,0.4169196469758958
recorded_qutrit,holdout,octave,phi_inverse_squared,2.0,0.38196601125010515,0.6300282764878182,0.41290136023561574
recorded_qutrit,holdout,octave,two_fifths,2.0,0.4,0.609063147751757,0.4063003222239858
recorded_qutrit,holdout,octave,sqrt2_minus_1,2.0,0.41421356237309515,0.5942959673023421,0.4028224769185451
recorded_qutrit,holdout,e,quarter,2.718281828459045,0.25,0.7324014549506208,0.5058457812043271
