horizon_bins,horizon_us,run,field_G,model,rmse_log_rate,parent_rmse_log_rate,improvement_fraction
4,0.064,EMU00070022,284.0,M4 full lock,0.059110811240854814,0.08215093950721193,0.28046092235298725
4,0.064,EMU00070028,320.0,M4 full lock,0.05364170849349341,0.08187001214671888,0.3447941793710456
4,0.064,EMU00070034,356.0,M4 full lock,0.0544316510672002,0.08343861330640764,0.3476443470205641
4,0.064,EMU00070040,392.0,M4 full lock,0.058194814237770696,0.08157420136830795,0.28660270941518873
4,0.064,EMU00070046,428.0,M4 full lock,0.05179930782032386,0.08236866822548086,0.37112850145245313
4,0.064,EMU00070052,464.0,M4 full lock,0.05812160911404208,0.08228209742032659,0.2936299518820483
4,0.064,EMU00070058,500.0,M4 full lock,0.054995952323094774,0.0817495286394,0.3272627593281445
8,0.128,EMU00069986,68.0,M0 parent,0.07970309459527553,0.07970309459527553,0.0
8,0.128,EMU00069992,104.0,M0 parent,0.08009650574220042,0.08009650574220042,0.0
8,0.128,EMU00069998,140.0,M0 parent,0.07931102516639704,0.07931102516639704,0.0
8,0.128,EMU00070004,176.0,M0 parent,0.07980024169255341,0.07980024169255341,0.0
8,0.128,EMU00070010,212.0,M0 parent,0.07895865323146777,0.07895865323146777,0.0
8,0.128,EMU00070016,248.0,M0 parent,0.07929939419944425,0.07929939419944425,0.0
8,0.128,EMU00070022,284.0,M0 parent,0.0796321297845142,0.0796321297845142,0.0
8,0.128,EMU00070028,320.0,M0 parent,0.07925948417371846,0.07925948417371846,0.0
8,0.128,EMU00070034,356.0,M0 parent,0.08092037507213123,0.08092037507213123,0.0
8,0.128,EMU00070040,392.0,M0 parent,0.07899485207623992,0.07899485207623992,0.0
8,0.128,EMU00070046,428.0,M0 parent,0.07986521792491474,0.07986521792491474,0.0
8,0.128,EMU00070052,464.0,M0 parent,0.07979965101792169,0.07979965101792169,0.0
8,0.128,EMU00070058,500.0,M0 parent,0.07921645421132725,0.07921645421132725,0.0
8,0.128,EMU00069986,68.0,M1 + spin,0.07950378295346572,0.07970309459527553,0.002500676326582907
8,0.128,EMU00069992,104.0,M1 + spin,0.08053334337306343,0.08009650574220042,-0.005453891238015096
8,0.128,EMU00069998,140.0,M1 + spin,0.07961506123601253,0.07931102516639704,-0.0038334653848894895
8,0.128,EMU00070004,176.0,M1 + spin,0.07961655885902617,0.07980024169255341,0.0023017829223489494
8,0.128,EMU00070010,212.0,M1 + spin,0.07874557619738284,0.07895865323146777,0.0026985900261025098
8,0.128,EMU00070016,248.0,M1 + spin,0.07937398695073605,0.07929939419944425,-0.0009406471770037061
8,0.128,EMU00070022,284.0,M1 + spin,0.07975972491145349,0.0796321297845142,-0.0016023070999677813
8,0.128,EMU00070028,320.0,M1 + spin,0.07927613250931198,0.07925948417371846,-0.00021004849788108793
8,0.128,EMU00070034,356.0,M1 + spin,0.08093179290976461,0.08092037507213123,-0.00014109966276354413
8,0.128,EMU00070040,392.0,M1 + spin,0.07911676922435784,0.07899485207623992,-0.00154335561006258
8,0.128,EMU00070046,428.0,M1 + spin,0.07995776926215874,0.07986521792491474,-0.0011588441082199807
8,0.128,EMU00070052,464.0,M1 + spin,0.0797589492393683,0.07979965101792169,0.0005100495808465499
8,0.128,EMU00070058,500.0,M1 + spin,0.07911618135479645,0.07921645421132725,0.0012658084425655192
8,0.128,EMU00069986,68.0,M2 + strength,0.056044397230837095,0.07970309459527553,0.2968353673665366
8,0.128,EMU00069992,104.0,M2 + strength,0.06099663622869491,0.08009650574220042,0.23846070857298796
8,0.128,EMU00069998,140.0,M2 + strength,0.05477762395651743,0.07931102516639704,0.3093315356649061
8,0.128,EMU00070004,176.0,M2 + strength,0.05507315825560228,0.07980024169255341,0.30986226247556026
8,0.128,EMU00070010,212.0,M2 + strength,0.05725735964100603,0.07895865323146777,0.27484376572184266
8,0.128,EMU00070016,248.0,M2 + strength,0.05676311361020212,0.07929939419944425,0.28419234241010216
8,0.128,EMU00070022,284.0,M2 + strength,0.05888389956546103,0.0796321297845142,0.2605509895967646
8,0.128,EMU00070028,320.0,M2 + strength,0.05330162786974502,0.07925948417371846,0.3275047342861811
8,0.128,EMU00070034,356.0,M2 + strength,0.054031732455995254,0.08092037507213123,0.332285195071919
8,0.128,EMU00070040,392.0,M2 + strength,0.057890799567133694,0.07899485207623992,0.26715731410874943
8,0.128,EMU00070046,428.0,M2 + strength,0.05207342080232687,0.07986521792491474,0.34798373866225873
8,0.128,EMU00070052,464.0,M2 + strength,0.05972010308246142,0.07979965101792169,0.25162450811909853
8,0.128,EMU00070058,500.0,M2 + strength,0.0570521922220142,0.07921645421132725,0.27979366420750196
