x_e_child,charged_parent,joint_neutral_parent,nu_e_parent_mean,anti_nu_mu_parent_mean,pair_mass_parent,nu_e_internal_ara,anti_nu_mu_internal_ara,probability_anti_nu_mu_heavier
0.5149999999999999,0.25749999999999995,0.7425,0.33955266497461917,0.4029473350253809,0.24250000000000005,0.9146199729956072,1.085380027004393,0.6846446700507614
0.5199999999999999,0.25999999999999995,0.74,0.3381632653061223,0.4018367346938777,0.24000000000000005,0.9139547710976278,1.086045228902372,0.683673469387755
0.5249999999999999,0.26249999999999996,0.7375,0.33677884615384596,0.4007211538461541,0.23750000000000004,0.9132985658409382,1.086701434159062,0.6826923076923075
0.5299999999999999,0.26499999999999996,0.7350000000000001,0.3353994845360823,0.3996005154639178,0.23500000000000004,0.9126516586015844,1.0873483413984155,0.6817010309278353
0.5349999999999999,0.26749999999999996,0.7325,0.3340252590673574,0.3984747409326426,0.23250000000000004,0.9120143592282796,1.0879856407717203,0.6806994818652848
0.5399999999999999,0.26999999999999996,0.73,0.3326562499999999,0.3973437500000001,0.23000000000000004,0.9113869863013695,1.0886130136986305,0.6796874999999998
0.5449999999999999,0.27249999999999996,0.7275,0.33129253926701563,0.3962074607329844,0.22750000000000004,0.9107698674007302,1.0892301325992697,0.6786649214659685
0.5499999999999999,0.27499999999999997,0.7250000000000001,0.32993421052631566,0.3950657894736844,0.22500000000000003,0.9101633393829397,1.0898366606170604,0.6776315789473683
0.5549999999999999,0.27749999999999997,0.7225,0.32858134920634907,0.39391865079365096,0.22250000000000003,0.9095677486680943,1.0904322513319058,0.6765873015873012
0.5599999999999999,0.27999999999999997,0.72,0.32723404255319133,0.39276595744680864,0.22000000000000003,0.9089834515366426,1.0910165484633574,0.675531914893617
0.565,0.2825,0.7175,0.32589237967914425,0.3916076203208558,0.21750000000000003,0.908410814436639,1.091589185563361,0.6744652406417113
0.57,0.285,0.7150000000000001,0.3245564516129031,0.390443548387097,0.21500000000000002,0.9078502143018267,1.0921497856981732,0.6733870967741936
0.575,0.2875,0.7125,0.32322635135135125,0.3892736486486488,0.21250000000000002,0.9073020388809859,1.092697961119014,0.6722972972972974
0.58,0.29,0.71,0.3219021739130433,0.38809782608695664,0.21000000000000002,0.9067666870789953,1.0932333129210048,0.6711956521739131
0.585,0.2925,0.7075,0.3205840163934424,0.3869159836065576,0.20750000000000002,0.9062445693100846,1.0937554306899155,0.6700819672131144
0.59,0.295,0.7050000000000001,0.31927197802197793,0.38572802197802214,0.20500000000000002,0.9057361078637671,1.0942638921362329,0.6689560439560438
0.595,0.2975,0.7025,0.3179661602209944,0.3845338397790056,0.2025,0.9052417372839697,1.0947582627160302,0.6678176795580109
0.6,0.3,0.7,0.3166666666666665,0.38333333333333347,0.2,0.9047619047619043,1.0952380952380958,0.6666666666666664
0.605,0.3025,0.6975,0.3153736033519552,0.3821263966480448,0.1975,0.9042970705432407,1.0957029294567593,0.6655027932960894
0.61,0.305,0.6950000000000001,0.3140870786516853,0.3809129213483148,0.195,0.9038477083501734,1.0961522916498265,0.6643258426966293
0.615,0.3075,0.6925,0.31280720338983037,0.37969279661016964,0.1925,0.9034143058190046,1.0965856941809953,0.663135593220339
0.62,0.31,0.69,0.3115340909090908,0.37846590909090916,0.19,0.9029973649538864,1.0970026350461135,0.6619318181818178
0.625,0.3125,0.6875,0.310267857142857,0.377232142857143,0.1875,0.9025974025974022,1.0974025974025978,0.6607142857142855
0.63,0.315,0.685,0.30900862068965507,0.375991379310345,0.185,0.9022149509187009,1.097785049081299,0.6594827586206896
0.635,0.3175,0.6825,0.30775650289017326,0.37474349710982674,0.1825,0.9018505579199216,1.0981494420800784,0.6582369942196529
0.6399999999999999,0.31999999999999995,0.68,0.30651162790697667,0.3734883720930234,0.18000000000000005,0.901504787961696,1.098495212038304,0.6569767441860465
0.6449999999999999,0.32249999999999995,0.6775,0.30527412280701743,0.37222587719298256,0.17750000000000005,0.9011782223085386,1.0988217776914615,0.6557017543859648
0.6499999999999999,0.32499999999999996,0.675,0.3040441176470587,0.37095588235294136,0.17500000000000004,0.9008714596949886,1.0991285403050113,0.6544117647058825
0.6549999999999999,0.32749999999999996,0.6725000000000001,0.3028217455621301,0.36967825443787,0.17250000000000004,0.9005851169133979,1.0994148830866022,0.6531065088757396
0.6599999999999999,0.32999999999999996,0.67,0.30160714285714274,0.3683928571428573,0.17000000000000004,0.9003198294243067,1.0996801705756933,0.6517857142857144
0.6649999999999999,0.33249999999999996,0.6675,0.3004004491017963,0.3670995508982037,0.16750000000000004,0.900076251990401,1.0999237480095991,0.650449101796407
0.6699999999999999,0.33499999999999996,0.665,0.29920180722891554,0.3657981927710845,0.16500000000000004,0.8998550593350843,1.1001449406649157,0.6490963855421685
0.6749999999999999,0.33749999999999997,0.6625000000000001,0.29801136363636355,0.36448863636363654,0.16250000000000003,0.8996569468267578,1.1003430531732423,0.6477272727272727
0.6799999999999999,0.33999999999999997,0.66,0.29682926829268286,0.3631707317073172,0.16000000000000003,0.899482631189948,1.100517368810052,0.6463414634146342
0.6849999999999999,0.34249999999999997,0.6575,0.2956556748466257,0.3618443251533743,0.15750000000000003,0.8993328512444888,1.100667148755511,0.6449386503067484
0.69,0.345,0.655,0.2944907407407406,0.3605092592592594,0.15500000000000003,0.8992083686740171,1.100791631325983,0.6435185185185183
0.695,0.3475,0.6525000000000001,0.29333462732919247,0.3591653726708076,0.15250000000000002,0.8991099688251109,1.100890031174889,0.6420807453416149
0.7,0.35,0.65,0.2921874999999999,0.35781250000000014,0.15000000000000002,0.8990384615384611,1.1009615384615388,0.6406249999999999
0.705,0.3525,0.6475,0.29104952830188674,0.3564504716981132,0.14750000000000002,0.8989946820135498,1.10100531798645,0.6391509433962264
0.71,0.355,0.645,0.28992088607594924,0.3550791139240508,0.14500000000000002,0.8989794917083697,1.1010205082916302,0.6376582278481011
0.715,0.3575,0.6425000000000001,0.28880175159235655,0.3536982484076435,0.14250000000000002,0.8989937792758179,1.101006220724182,0.6361464968152866
0.72,0.36,0.64,0.2876923076923076,0.35230769230769243,0.14,0.8990384615384611,1.1009615384615388,0.6346153846153845
0.725,0.3625,0.6375,0.28659274193548373,0.3509072580645162,0.1375,0.8991144845034784,1.1008855154965216,0.6330645161290321
0.73,0.365,0.635,0.2855032467532466,0.3494967532467534,0.135,0.8992228244196744,1.1007771755803257,0.6314935064935064
0.735,0.3675,0.6325000000000001,0.284424019607843,0.34807598039215704,0.1325,0.8993644888785549,1.100635511121445,0.6299019607843137
0.74,0.37,0.63,0.28335526315789467,0.34664473684210534,0.13,0.8995405179615703,1.1004594820384297,0.6282894736842106
0.7449999999999999,0.37249999999999994,0.6275000000000001,0.2822971854304635,0.34520281456953655,0.12750000000000006,0.8997519854357402,1.10024801456426,0.6266556291390729
0.7499999999999999,0.37499999999999994,0.625,0.2812499999999999,0.3437500000000001,0.12500000000000006,0.8999999999999997,1.1000000000000003,0.6249999999999999
0.7549999999999999,0.37749999999999995,0.6225,0.2802139261744966,0.34228607382550347,0.12250000000000005,0.900285706584728,1.0997142934152722,0.6233221476510067
0.7599999999999999,0.37999999999999995,0.6200000000000001,0.2791891891891891,0.340810810810811,0.12000000000000005,0.9006102877070615,1.0993897122929386,0.6216216216216217
0.7649999999999999,0.38249999999999995,0.6175,0.2781760204081632,0.33932397959183686,0.11750000000000005,0.900974964884739,1.099025035115261,0.6198979591836734
0.7699999999999999,0.38499999999999995,0.615,0.27717465753424647,0.3378253424657535,0.11500000000000005,0.9013810001113707,1.0986189998886293,0.6181506849315067
0.7749999999999999,0.38749999999999996,0.6125,0.2761853448275861,0.33631465517241393,0.11250000000000004,0.9018296973961994,1.0981703026038006,0.6163793103448276
0.7799999999999999,0.38999999999999996,0.6100000000000001,0.2752083333333332,0.3347916666666669,0.11000000000000004,0.9023224043715842,1.0976775956284157,0.6145833333333333
0.7849999999999999,0.39249999999999996,0.6075,0.274243881118881,0.33325611888111906,0.10750000000000004,0.9028605139716246,1.0971394860283754,0.6127622377622376
0.7899999999999999,0.39499999999999996,0.605,0.2732922535211267,0.3317077464788733,0.10500000000000004,0.9034454661855428,1.0965545338144573,0.6109154929577464
0.7949999999999999,0.39749999999999996,0.6025,0.27235372340425523,0.3301462765957448,0.10250000000000004,0.9040787498896439,1.0959212501103561,0.6090425531914894
0.7999999999999999,0.39999999999999997,0.6000000000000001,0.27142857142857135,0.32857142857142874,0.10000000000000003,0.9047619047619043,1.0952380952380956,0.6071428571428571
0.8049999999999999,0.40249999999999997,0.5975,0.27051708633093513,0.3269829136690649,0.09750000000000003,0.9054965232834649,1.0945034767165351,0.6052158273381294
