event,method,time_s,M,C,speed_rank,display_shift_ms,selected_pair_lag_ms
GW170814,T429 separated,-0.09526757812499964,1.519868196241144,0.9887722723944333,0.8010752688172043,4,-4
GW170814,T429 separated,-0.09126757812499964,1.43195508908957,0.951864290944588,0.8118279569892473,4,-4
GW170814,T429 separated,-0.08726757812499963,1.3715870148889406,0.8943939467903298,0.6720430107526881,4,-4
GW170814,T429 separated,-0.08326757812499963,1.3715870148889406,0.8464691237490807,0.3118279569892473,4,-4
GW170814,T429 separated,-0.07926757812499963,1.3715870148889406,0.8464691237490807,0.051075268817204304,4,-4
GW170814,T429 separated,-0.07526757812499962,1.3715870148889406,0.8464691237490807,0.22580645161290322,4,-4
GW170814,T429 separated,-0.07126757812499962,1.392074200634614,0.8464691237490807,0.41935483870967744,4,-4
GW170814,T429 separated,-0.06726757812499962,1.43352989992678,0.8620883573346427,0.2956989247311828,4,-4
GW170814,T429 separated,-0.06326757812499961,1.43352989992678,0.8620883573346427,0.051075268817204304,4,-4
GW170814,T429 separated,-0.05926757812499961,1.43352989992678,0.8620883573346427,0.051075268817204304,4,-4
