rung,entity,axis,axis_bin,coordinate_low,coordinate_high,starting_events,threshold_index,threshold_q,adult_progress,conditional_survival,global_survival,redistribution_log2
r9,edge,u,9,1.5,1.6666666666666667,6073,12,1153,0.5216340667032948,0.266425160546682,0.2533983004382494,0.07232348522189853
r9,edge,u,10,1.6666666666666667,1.8333333333333333,0,12,1153,0.5216340667032948,nan,0.2533983004382494,nan
r9,edge,u,11,1.8333333333333333,2.0,0,12,1153,0.5216340667032948,nan,0.2533983004382494,nan
r9,edge,u,0,0.0,0.16666666666666666,0,13,1559,0.5651515704853161,nan,0.23452483307649546,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,13,1559,0.5651515704853161,nan,0.23452483307649546,nan
r9,edge,u,2,0.3333333333333333,0.5,2581,13,1559,0.5651515704853161,0.22278186749321968,0.23452483307649546,-0.07410887851835317
r9,edge,u,3,0.5,0.6666666666666666,65805,13,1559,0.5651515704853161,0.23324975305827825,0.23452483307649546,-0.00786513944816807
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,13,1559,0.5651515704853161,0.23557315086606898,0.23452483307649546,0.006434426162064321
r9,edge,u,5,0.8333333333333334,1.0,306444,13,1559,0.5651515704853161,0.23441477072483063,0.23452483307649546,-0.0006772147652445105
r9,edge,u,6,1.0,1.1666666666666667,608675,13,1559,0.5651515704853161,0.23456195835215837,0.23452483307649546,0.00022836051741834094
r9,edge,u,7,1.1666666666666667,1.3333333333333333,255056,13,1559,0.5651515704853161,0.2345328084812747,0.23452483307649546,4.906039644498904e-05
r9,edge,u,8,1.3333333333333333,1.5,83755,13,1559,0.5651515704853161,0.23220106262312698,0.23452483307649546,-0.014366118710857422
r9,edge,u,9,1.5,1.6666666666666667,6073,13,1559,0.5651515704853161,0.243536966902684,0.23452483307649546,0.05440008499287377
r9,edge,u,10,1.6666666666666667,1.8333333333333333,0,13,1559,0.5651515704853161,nan,0.23452483307649546,nan
r9,edge,u,11,1.8333333333333333,2.0,0,13,1559,0.5651515704853161,nan,0.23452483307649546,nan
r9,edge,u,0,0.0,0.16666666666666666,0,14,2099,0.6080544320122933,nan,0.21688342769011806,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,14,2099,0.6080544320122933,nan,0.21688342769011806,nan
r9,edge,u,2,0.3333333333333333,0.5,2581,14,2099,0.6080544320122933,0.2049593180937621,0.21688342769011806,-0.08158223834201075
r9,edge,u,3,0.5,0.6666666666666666,65805,14,2099,0.6080544320122933,0.21580427019223464,0.21688342769011806,-0.007196407045327878
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,14,2099,0.6080544320122933,0.21814821747910004,0.21688342769011806,0.00838886604156305
r9,edge,u,5,0.8333333333333334,1.0,306444,14,2099,0.6080544320122933,0.21667906697471642,0.21688342769011806,-0.0013600355940605
r9,edge,u,6,1.0,1.1666666666666667,608675,14,2099,0.6080544320122933,0.21682014211196451,0.21688342769011806,-0.0004210331515214309
r9,edge,u,7,1.1666666666666667,1.3333333333333333,255056,14,2099,0.6080544320122933,0.21694059343830374,0.21688342769011806,0.0003802128876083881
r9,edge,u,8,1.3333333333333333,1.5,83755,14,2099,0.6080544320122933,0.2146379320637574,0.21688342769011806,-0.015014759164400386
r9,edge,u,9,1.5,1.6666666666666667,6073,14,2099,0.6080544320122933,0.22657665074921784,0.21688342769011806,0.06307937648995827
r9,edge,u,10,1.6666666666666667,1.8333333333333333,0,14,2099,0.6080544320122933,nan,0.21688342769011806,nan
r9,edge,u,11,1.8333333333333333,2.0,0,14,2099,0.6080544320122933,nan,0.21688342769011806,nan
r9,edge,u,0,0.0,0.16666666666666666,0,15,2843,0.6518202570699299,nan,0.19950476933343295,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,15,2843,0.6518202570699299,nan,0.19950476933343295,nan
r9,edge,u,2,0.3333333333333333,0.5,2581,15,2843,0.6518202570699299,0.1875242154203797,0.19950476933343295,-0.08934632966006997
r9,edge,u,3,0.5,0.6666666666666666,65805,15,2843,0.6518202570699299,0.19892105463110707,0.19950476933343295,-0.004227250635840483
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,15,2843,0.6518202570699299,0.20113749965150132,0.19950476933343295,0.011758844014388798
r9,edge,u,5,0.8333333333333334,1.0,306444,15,2843,0.6518202570699299,0.1991978958635183,0.19950476933343295,-0.002220827495256638
r9,edge,u,6,1.0,1.1666666666666667,608675,15,2843,0.6518202570699299,0.19933133445599047,0.19950476933343295,-0.0012547191741050124
r9,edge,u,7,1.1666666666666667,1.3333333333333333,255056,15,2843,0.6518202570699299,0.19919939150617905,0.19950476933343295,-0.002209995311815636
r9,edge,u,8,1.3333333333333333,1.5,83755,15,2843,0.6518202570699299,0.19810160587427617,0.19950476933343295,-0.010182660510934196
r9,edge,u,9,1.5,1.6666666666666667,6073,15,2843,0.6518202570699299,0.2084636917503705,0.19950476933343295,0.0633728947375736
r9,edge,u,10,1.6666666666666667,1.8333333333333333,0,15,2843,0.6518202570699299,nan,0.19950476933343295,nan
r9,edge,u,11,1.8333333333333333,2.0,0,15,2843,0.6518202570699299,nan,0.19950476933343295,nan
r9,edge,u,0,0.0,0.16666666666666666,0,16,3851,0.695596789987582,nan,0.1835759680803512,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,16,3851,0.695596789987582,nan,0.1835759680803512,nan
